feature,importance_permutation_auc,importance_tree_gain,importance_shap_like,rank_permutation,rank_shap_like,rank_gap
graph_diffusion_score,0.029229220423801692,0.21185278839382024,0.09214138984330912,1.0,1.0,0.0
acceleration_score,0.01162620220501996,0.07634056881303079,0.021072190478261463,2.0,6.0,4.0
dynamic_pulse_index,0.010365353037766827,0.12329224671782099,0.03850454422320703,3.0,4.0,1.0
dynamic_hazard_score,0.00849851434826803,0.12381502964627181,0.0407343433088451,4.0,3.0,1.0
critical_transition_score,0.006670771756978611,0.06216112325385548,0.015036042812394564,5.0,8.0,3.0
growth_1,0.006289584799436999,0.0968040141035002,0.03465520149616928,6.0,5.0,1.0
regime_switch_rate_3y,0.0007721479396356003,0.017348794943997343,0.006396126862709831,7.0,10.0,3.0
regime_forward_risk,-0.00045449214168427225,0.021453452514464223,0.008741946675816323,8.0,9.0,1.0
regime_transition_entropy,-0.001216866056767558,0.016565661872555627,0.00633240567358267,9.0,11.0,2.0
stall_probability_base_pre_fusion,-0.002145398389240779,0.18404865391277425,0.0568403812655231,10.0,2.0,8.0
accel_1,-0.0023311048557354314,0.06631766582790923,0.019121285463327163,11.0,7.0,4.0
