feature,year_count,mean_perm_auc_importance,std_perm_auc_importance,min_perm_auc_importance,max_perm_auc_importance,slope_perm_auc_importance_per_year
dynamic_pulse_index,10,0.019372950075918185,0.029614370844594926,-0.011443850267379563,0.09974489795918376,-0.003503274791649489
graph_diffusion_score,10,0.01825339154788702,0.02382141246625019,-0.005320512820512835,0.08130227001194748,-0.0022186333154037194
dynamic_hazard_score,10,0.009818894366155427,0.0259990812926648,-0.03395721925133684,0.0614492753623189,0.006498452175803758
accel_1,10,0.009766267068865466,0.01194658200281236,-0.015739484396200754,0.025508819538670215,0.0027451953384776424
stall_probability_base_pre_fusion,10,0.008205434880856507,0.02354091147969616,-0.02704517704517705,0.048028673835125525,-0.00048694600563408373
regime_switch_rate_3y,10,0.002559843271739218,0.0047651732984911755,-0.006272401433691699,0.007608695652174003,0.0008659407037266382
acceleration_score,10,0.00044175979199941875,0.011816158914909385,-0.018188405797101403,0.027476255088195334,0.00030649909248442806
regime_transition_entropy,10,-0.0004899734459886138,0.004555625797110541,-0.006989247311827884,0.00525641025641026,0.001135136823476168
growth_1,10,-0.0009515965513771432,0.011474808728659075,-0.0218321917808219,0.016300366300366343,0.002068526314327102
critical_transition_score,10,-0.0019146011608661942,0.008803797288271277,-0.023337856173677018,0.009375000000000022,0.0009492513337789755
regime_forward_risk,10,-0.0021052376233500845,0.006412968439796796,-0.014043419267299805,0.007250000000000023,0.0014170836909788468
