year,ite_dr,n,post,att_se
2015,0.07635430846285775,169,0,0.049307622384722236
2016,0.005982300924952492,169,0,0.02098722582549865
2017,0.016498370633169297,169,0,0.02040588464468777
2018,0.037851079412308856,169,0,0.01938304457798118
2019,0.06375631472802466,169,0,0.01984295580687838
2020,-0.013502822081506763,169,1,0.0212988450261947
2021,0.0408733670382326,169,1,0.019289088536406998
2022,0.05899197706068058,169,1,0.021040964218638
2023,0.08399634446848618,169,1,0.019411272635049062
2024,0.06189523662728193,169,1,0.018800971697220416
2025,0.06249256995600304,169,1,0.02111085367564401
