group,shock_year,event_time,high_mean_rel_outcome,low_mean_rel_outcome,effect_high_minus_low,n_high,n_low,channel
__all__,2020,-2,-0.04182472672661978,-0.1381788054889573,0.09635407876233754,89,129,composite_index
__all__,2020,-1,0.0,0.0,0.0,89,129,composite_index
__all__,2020,0,-0.10490625054602176,-0.3291571203214321,0.2242508697754103,89,129,composite_index
__all__,2020,1,-0.059412542676996756,-0.31195122670912423,0.2525386840321275,89,129,composite_index
__all__,2020,2,-0.09881709357246544,-0.27403861702694204,0.1752215234544766,89,129,composite_index
__all__,2022,-2,-0.04549370786902501,-0.017205893612307805,-0.028287814256717208,89,129,composite_index
__all__,2022,-1,0.0,0.0,0.0,89,129,composite_index
__all__,2022,0,-0.039404550895468696,0.03791260968218228,-0.07731716057765098,89,129,composite_index
__all__,2022,1,-0.14667391437224073,0.018906311301585262,-0.165580225673826,89,129,composite_index
__all__,2022,2,-0.1979824882150206,0.09271971785822132,-0.29070220607324193,89,129,composite_index
__all__,2023,-2,0.039404550895468696,-0.03791260968218228,0.07731716057765098,89,129,composite_index
__all__,2023,-1,0.0,0.0,0.0,89,129,composite_index
__all__,2023,0,-0.10726936347677204,-0.01900629838059702,-0.08826306509617503,89,129,composite_index
__all__,2023,1,-0.15857793731955191,0.05480710817603904,-0.21338504549559095,89,129,composite_index
__all__,2023,2,0.044451053269847725,0.301718454198982,-0.2572674009291343,89,129,composite_index
__all__,2020,-2,-0.6432727142293698,-0.3814603631242034,-0.26181235110516643,89,129,economic_vitality
__all__,2020,-1,0.0,0.0,0.0,89,129,economic_vitality
__all__,2020,0,-0.07049767144447336,-0.1226581151717413,0.05216044372726794,89,129,economic_vitality
__all__,2020,1,-0.016895169712723937,0.03791089490431349,-0.05480606461703743,89,129,economic_vitality
__all__,2020,2,0.42863565481811694,-0.1252126915106285,0.5538483463287455,89,129,economic_vitality
__all__,2022,-2,-0.05360250173174943,-0.16056901007605479,0.10696650834430535,89,129,economic_vitality
__all__,2022,-1,0.0,0.0,0.0,89,129,economic_vitality
__all__,2022,0,0.44553082453084086,-0.163123586414942,0.6086544109457829,89,129,economic_vitality
__all__,2022,1,0.5492090517056343,-0.10703977646247101,0.6562488281681053,89,129,economic_vitality
__all__,2022,2,0.776285016861036,-0.018954629008339868,0.7952396458693759,89,129,economic_vitality
__all__,2023,-2,-0.44553082453084086,0.163123586414942,-0.6086544109457829,89,129,economic_vitality
__all__,2023,-1,0.0,0.0,0.0,89,129,economic_vitality
__all__,2023,0,0.10367822717479346,0.056083809952470996,0.04759441722232246,89,129,economic_vitality
__all__,2023,1,0.33075419233019526,0.14416895740660216,0.1865852349235931,89,129,economic_vitality
__all__,2023,2,0.48880364781442825,-0.03636978916484421,0.5251734369792724,89,129,economic_vitality
__all__,2020,-2,0.8602383078807467,0.2078194497666007,0.652418858114146,89,129,livability
__all__,2020,-1,0.0,0.0,0.0,89,129,livability
__all__,2020,0,-0.15988025053235652,-0.6185210088228598,0.4586407582905032,89,129,livability
__all__,2020,1,0.06975639831827252,-0.8229733459006621,0.8927297442189346,89,129,livability
__all__,2020,2,-0.8068069473048507,-0.3375271785446799,-0.4692797687601708,89,129,livability
__all__,2022,-2,-0.22963664885062904,0.20445233707780236,-0.43408898592843137,89,129,livability
__all__,2022,-1,0.0,0.0,0.0,89,129,livability
__all__,2022,0,-0.8765633456231232,0.4854461673559821,-1.3620095129791054,89,129,livability
__all__,2022,1,-1.2407245998752545,0.2645664366420341,-1.5052910365172887,89,129,livability
__all__,2022,2,-1.8257494414263447,0.1751496750181965,-2.000899116444541,89,129,livability
__all__,2023,-2,0.8765633456231232,-0.4854461673559821,1.3620095129791054,89,129,livability
__all__,2023,-1,0.0,0.0,0.0,89,129,livability
__all__,2023,0,-0.3641612542521313,-0.220879730713948,-0.1432815235381833,89,129,livability
__all__,2023,1,-0.9491860958032214,-0.3102964923377856,-0.6388896034654359,89,129,livability
__all__,2023,2,-0.6450884717972919,0.6249526313482017,-1.2700411031454935,89,129,livability
__all__,2020,-2,-0.26717706540832536,-0.19629224750687974,-0.07088481790144563,89,129,innovation
__all__,2020,-1,0.0,0.0,0.0,89,129,innovation
__all__,2020,0,-0.08612105354841931,-0.2873930770307382,0.20127202348231887,89,129,innovation
__all__,2020,1,-0.3811222785883324,-0.20485229175416772,-0.1762699868341647,89,129,innovation
__all__,2020,2,-0.04660353341960079,-0.497791966782606,0.45118843336300524,89,129,innovation
__all__,2022,-2,0.2950012250399131,-0.0825407852765704,0.3775420103164835,89,129,innovation
__all__,2022,-1,0.0,0.0,0.0,89,129,innovation
__all__,2022,0,0.33451874516873165,-0.2929396750284383,0.62745842019717,89,129,innovation
__all__,2022,1,0.20217811158281554,-0.1276202105750753,0.32979832215789084,89,129,innovation
__all__,2022,2,0.4585077934836706,0.1997345732780259,0.2587732202056447,89,129,innovation
__all__,2023,-2,-0.33451874516873165,0.2929396750284383,-0.62745842019717,89,129,innovation
__all__,2023,-1,0.0,0.0,0.0,89,129,innovation
__all__,2023,0,-0.13234063358591605,0.16531946445336304,-0.29766009803927906,89,129,innovation
__all__,2023,1,0.12398904831493895,0.4926742483064642,-0.36868519999152527,89,129,innovation
__all__,2023,2,0.2513518844120355,0.4967571917564566,-0.24540530734442112,89,129,innovation
