group,shock_year,event_time,high_mean_rel_outcome,low_mean_rel_outcome,effect_high_minus_low,n_high,n_low,policy_type
__all__,2015,0,,,,89,129,climate
__all__,2015,1,,,,89,129,climate
__all__,2015,2,,,,89,129,climate
__all__,2022,-2,-0.04549370786902501,-0.017205893612307805,-0.028287814256717208,89,129,climate
__all__,2022,-1,0.0,0.0,0.0,89,129,climate
__all__,2022,0,-0.039404550895468696,0.03791260968218228,-0.07731716057765098,89,129,climate
__all__,2022,1,-0.14667391437224073,0.018906311301585262,-0.165580225673826,89,129,climate
__all__,2022,2,-0.1979824882150206,0.09271971785822132,-0.29070220607324193,89,129,climate
__all__,2024,-2,0.10726936347677204,0.01900629838059702,0.08826306509617503,89,129,climate
__all__,2024,-1,0.0,0.0,0.0,89,129,climate
__all__,2024,0,-0.05130857384277987,0.07381340655663605,-0.1251219803994159,89,129,climate
__all__,2024,1,0.15172041674661976,0.32072475257957905,-0.1690043358329593,89,129,climate
__all__,2020,-2,-0.04182472672661978,-0.1381788054889573,0.09635407876233754,89,129,digital
__all__,2020,-1,0.0,0.0,0.0,89,129,digital
__all__,2020,0,-0.10490625054602176,-0.3291571203214321,0.2242508697754103,89,129,digital
__all__,2020,1,-0.059412542676996756,-0.31195122670912423,0.2525386840321275,89,129,digital
__all__,2020,2,-0.09881709357246544,-0.27403861702694204,0.1752215234544766,89,129,digital
__all__,2021,-2,0.10490625054602176,0.3291571203214321,-0.2242508697754103,89,129,digital
__all__,2021,-1,0.0,0.0,0.0,89,129,digital
__all__,2021,0,0.04549370786902501,0.017205893612307805,0.028287814256717208,89,129,digital
__all__,2021,1,0.006089156973556315,0.05511850329449009,-0.049029346320933774,89,129,digital
__all__,2021,2,-0.10118020650321573,0.03611220491389307,-0.1372924114171088,89,129,digital
__all__,2023,-2,0.039404550895468696,-0.03791260968218228,0.07731716057765098,89,129,digital
__all__,2023,-1,0.0,0.0,0.0,89,129,digital
__all__,2023,0,-0.10726936347677204,-0.01900629838059702,-0.08826306509617503,89,129,digital
__all__,2023,1,-0.15857793731955191,0.05480710817603904,-0.21338504549559095,89,129,digital
__all__,2023,2,0.044451053269847725,0.301718454198982,-0.2572674009291343,89,129,digital
__all__,2019,-2,-0.34795162343318664,-0.05694525431281731,-0.2910063691203693,89,129,energy
__all__,2019,-1,0.0,0.0,0.0,89,129,energy
__all__,2019,0,0.04182472672661978,0.1381788054889573,-0.09635407876233754,89,129,energy
__all__,2019,1,-0.06308152381940198,-0.19097831483247477,0.12789679101307277,89,129,energy
__all__,2019,2,-0.017587815950376975,-0.17377242122016695,0.15618460526978997,89,129,energy
__all__,2021,-2,0.10490625054602176,0.3291571203214321,-0.2242508697754103,89,129,energy
__all__,2021,-1,0.0,0.0,0.0,89,129,energy
__all__,2021,0,0.04549370786902501,0.017205893612307805,0.028287814256717208,89,129,energy
__all__,2021,1,0.006089156973556315,0.05511850329449009,-0.049029346320933774,89,129,energy
__all__,2021,2,-0.10118020650321573,0.03611220491389307,-0.1372924114171088,89,129,energy
__all__,2023,-2,0.039404550895468696,-0.03791260968218228,0.07731716057765098,89,129,energy
__all__,2023,-1,0.0,0.0,0.0,89,129,energy
__all__,2023,0,-0.10726936347677204,-0.01900629838059702,-0.08826306509617503,89,129,energy
__all__,2023,1,-0.15857793731955191,0.05480710817603904,-0.21338504549559095,89,129,energy
__all__,2023,2,0.044451053269847725,0.301718454198982,-0.2572674009291343,89,129,energy
__all__,2021,-2,0.10490625054602176,0.3291571203214321,-0.2242508697754103,89,129,innovation
__all__,2021,-1,0.0,0.0,0.0,89,129,innovation
__all__,2021,0,0.04549370786902501,0.017205893612307805,0.028287814256717208,89,129,innovation
__all__,2021,1,0.006089156973556315,0.05511850329449009,-0.049029346320933774,89,129,innovation
__all__,2021,2,-0.10118020650321573,0.03611220491389307,-0.1372924114171088,89,129,innovation
__all__,2022,-2,-0.04549370786902501,-0.017205893612307805,-0.028287814256717208,89,129,innovation
__all__,2022,-1,0.0,0.0,0.0,89,129,innovation
__all__,2022,0,-0.039404550895468696,0.03791260968218228,-0.07731716057765098,89,129,innovation
__all__,2022,1,-0.14667391437224073,0.018906311301585262,-0.165580225673826,89,129,innovation
__all__,2022,2,-0.1979824882150206,0.09271971785822132,-0.29070220607324193,89,129,innovation
__all__,2023,-2,0.039404550895468696,-0.03791260968218228,0.07731716057765098,89,129,innovation
__all__,2023,-1,0.0,0.0,0.0,89,129,innovation
__all__,2023,0,-0.10726936347677204,-0.01900629838059702,-0.08826306509617503,89,129,innovation
__all__,2023,1,-0.15857793731955191,0.05480710817603904,-0.21338504549559095,89,129,innovation
__all__,2023,2,0.044451053269847725,0.301718454198982,-0.2572674009291343,89,129,innovation
__all__,2020,-2,-0.04182472672661978,-0.1381788054889573,0.09635407876233754,89,129,institutional
