train_continent,test_continent,n_train,n_test,rmse,mae,r2
Africa,Asia,520,740,108.1795163114465,43.03190037650155,-196.41853665335262
Africa,Europe,520,670,8.26585632386437,4.679223502446174,-3.6481376308954685
Africa,North America,520,440,92.5980871307375,52.983787003548706,-226.86550751884656
Africa,Oceania,520,190,3.103077153593556,2.5424489915912023,0.8111874758445644
Africa,South America,520,390,3.083636737205643,2.597670652219234,0.650063538344062
Asia,Africa,740,520,3.340435970898398,2.74457239044402,0.7431615904096951
Asia,Europe,740,670,2.584960937320132,2.2449485952488684,0.5454190374079904
Asia,North America,740,440,2.4561037208892014,2.0348944309167005,0.8396872862928019
Asia,Oceania,740,190,2.6291121869286815,2.151091593082267,0.8644611217176845
Asia,South America,740,390,2.712496353940254,2.201207184054875,0.7292296537682952
Europe,Africa,670,520,7.085068056683356,5.6157431595384475,-0.15542489643282908
Europe,Asia,670,740,7.500869873983576,4.975411177684471,0.05088000993117192
Europe,North America,670,440,4.7437224971892045,3.835569276735824,0.40198357789869654
Europe,Oceania,670,190,3.6680059358032286,2.972201724046101,0.7361812185086036
Europe,South America,670,390,5.881053643864319,4.499916457291893,-0.27283777509330975
North America,Africa,440,520,14.659827980266122,10.804195550089904,-3.9466526683650374
North America,Asia,440,740,12.834629298444817,9.152882020182844,-1.778846239175044
North America,Europe,440,670,3.5400077773992553,2.879621207024128,0.14746600222492556
North America,Oceania,440,190,2.7012161433725956,2.2208560495781273,0.8569248125392913
North America,South America,440,390,9.580466775724693,7.227217089307002,-2.3778169630247805
Oceania,Africa,190,520,36.60234106054085,30.718655700616846,-29.83694850768757
Oceania,Asia,190,740,358.75750521373055,150.53318449969188,-2170.2000902717923
Oceania,Europe,190,670,19.77226086124166,14.932863111712827,-25.595976337053834
Oceania,North America,190,440,172.20249288122244,113.6567953185005,-787.049373404116
Oceania,South America,190,390,10.404630974493786,7.692324912746023,-2.9839707126196644
South America,Africa,390,520,8.48170981127897,7.771277838405848,-0.6558480767841
South America,Asia,390,740,77.46827442447344,32.41988446282364,-100.23848150488122
South America,Europe,390,670,7.448209632287149,5.877576022513987,-2.7740448565891014
South America,North America,390,440,51.97103413994247,35.47920068326375,-70.77897907284422
South America,Oceania,390,190,4.915756553604382,3.5785735177104137,0.5261658211393418
