spec_id,outcome,control_set,controls_count,window,with_treated_trend,weighting,coef,stderr,t_value,p_value_norm,n_obs
1,composite_index,none,0,full_window,0,unweighted,0.6750447501398706,0.1276878165948586,5.28668097036794,1.2455558873192274e-07,3245
2,composite_index,none,0,full_window,0,population_weighted,2.4257900689701244,0.2486519979182937,9.75576343354873,0.0,3245
3,composite_index,none,0,full_window,1,unweighted,-0.4032811479099592,0.188220305727224,-2.142601704698161,0.03214509416862299,3245
4,composite_index,none,0,full_window,1,population_weighted,0.2715385684038576,0.25521270475125435,1.0639696353224868,0.28734245529220237,3245
5,composite_index,none,0,late_start,0,unweighted,0.8736584472151314,0.14618727321696967,5.976296212314299,2.282677824538837e-09,2655
6,composite_index,none,0,late_start,0,population_weighted,2.637960117608959,0.25295805218574485,10.428448886347086,0.0,2655
7,composite_index,none,0,late_start,1,unweighted,-0.010349095921893897,0.2013726621368552,-0.051392755163858994,0.9590125576878434,2655
8,composite_index,none,0,late_start,1,population_weighted,1.1237804519994061,0.23270894586113156,4.829124414795893,1.3713471005427635e-06,2655
9,composite_index,none,0,trim_tail,0,unweighted,0.6345072681865767,0.13926226911566697,4.5562037170281515,5.208642219312054e-06,2950
10,composite_index,none,0,trim_tail,0,population_weighted,2.456662111228923,0.25744539184143356,9.542459057655368,0.0,2950
11,composite_index,none,0,trim_tail,1,unweighted,-0.46492867635223317,0.19406116474675802,-2.395784220706633,0.016584850541780494,2950
12,composite_index,none,0,trim_tail,1,population_weighted,0.31349542593431257,0.25302072567857264,1.2390108561010316,0.21534147771769807,2950
13,composite_index,none,0,exclude_2020,0,unweighted,0.7929508516259243,0.12922059662343277,6.1364122465453095,8.440594889691511e-10,2950
14,composite_index,none,0,exclude_2020,0,population_weighted,2.78686075034069,0.24326807204173376,11.45592484435274,0.0,2950
15,composite_index,none,0,exclude_2020,1,unweighted,-0.3370962551403189,0.19906766143337914,-1.6933752710664811,0.0903840588383833,2950
16,composite_index,none,0,exclude_2020,1,population_weighted,0.47380052795234145,0.2782962611215846,1.7025041085454724,0.08866090894854306,2950
17,composite_index,baseline,3,full_window,0,unweighted,0.1356682720559736,0.10837694652485719,1.2518185500350567,0.21063598918019144,3245
18,composite_index,baseline,3,full_window,0,population_weighted,0.34078998629143264,0.19776287479958252,1.7232252850126553,0.08484779294083444,3245
19,composite_index,baseline,3,full_window,1,unweighted,-0.21930088615135598,0.14779167858729025,-1.483851379506663,0.13784835295716125,3245
20,composite_index,baseline,3,full_window,1,population_weighted,0.12903979867905238,0.21177963410067627,0.6093116518357433,0.542317885309251,3245
21,composite_index,baseline,3,late_start,0,unweighted,0.3392192244182778,0.1225986470415295,2.7669083844242546,0.005659065607064084,2655
22,composite_index,baseline,3,late_start,0,population_weighted,0.8284391783727105,0.2056412810338734,4.02856456742384,5.6118448932718223e-05,2655
23,composite_index,baseline,3,late_start,1,unweighted,0.1196438688938069,0.15415781274927887,0.7761129115680618,0.4376823207536966,2655
24,composite_index,baseline,3,late_start,1,population_weighted,0.7959995963831342,0.20707457813878052,3.844023749982765,0.0001210332846943718,2655
25,composite_index,baseline,3,trim_tail,0,unweighted,0.16903736800330338,0.11402396332107874,1.4824723073983408,0.13821466677148564,2950
26,composite_index,baseline,3,trim_tail,0,population_weighted,0.6205287210451169,0.19480531005721988,3.18537888347525,0.0014456460245935165,2950
27,composite_index,baseline,3,trim_tail,1,unweighted,-0.28179762916678014,0.15049377690994384,-1.8724869224021743,0.06113926948844428,2950
