bin,pred,obs,n,abs_gap
"(0.031099999999999996, 0.0437]",0.03649597602058161,0.0,295,0.03649597602058161
"(0.0437, 0.0591]",0.051833913941301824,0.0,295,0.051833913941301824
"(0.0591, 0.0781]",0.06783649096283866,0.0,295,0.06783649096283866
"(0.0781, 0.128]",0.10067312123617725,0.0,295,0.10067312123617725
"(0.128, 0.203]",0.1648543467454245,0.03728813559322034,295,0.12756621115220418
"(0.203, 0.316]",0.25215175207552265,0.21016949152542372,295,0.04198226055009893
"(0.316, 0.436]",0.3785538422745308,0.45084745762711864,295,0.07229361535258783
"(0.436, 0.633]",0.5219927313879034,0.48135593220338985,295,0.04063679918451352
"(0.633, 0.793]",0.7269482006431404,0.8406779661016949,295,0.11372976545855451
"(0.793, 0.891]",0.8362222901459642,0.9796610169491525,295,0.14343872680318837
