threshold,n_selected,selected_rate,tp,fp,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none,nb_gain_vs_best_default
0.05,2543,0.8620338983050847,885,1658,0.27041926851025866,0.2631578947368421,0.0,0.007261373773416568
0.1,1916,0.6494915254237288,885,1031,0.26116760828625235,0.2222222222222222,0.0,0.03894538606403014
0.15000000000000002,1675,0.5677966101694916,885,790,0.2527417746759721,0.1764705882352941,0.0,0.07627118644067798
0.2,1486,0.5037288135593221,875,611,0.24483050847457627,0.125,0.0,0.11983050847457627
0.25,1321,0.4477966101694915,853,468,0.23627118644067796,0.06666666666666668,0.0,0.16960451977401128
0.3,1212,0.41084745762711866,823,389,0.2224697336561743,0.0,0.0,0.2224697336561743
0.35000000000000003,1111,0.3766101694915254,790,321,0.20920469361147326,-0.07692307692307698,0.0,0.20920469361147326
0.4,966,0.32745762711864407,722,244,0.1896045197740113,-0.16666666666666669,0.0,0.1896045197740113
0.45,856,0.2901694915254237,662,194,0.17060092449922956,-0.27272727272727265,0.0,0.17060092449922956
0.5,766,0.25966101694915256,622,144,0.16203389830508474,-0.39999999999999997,0.0,0.16203389830508474
0.55,686,0.23254237288135593,580,106,0.1526930320150659,-0.5555555555555558,0.0,0.1526930320150659
0.6000000000000001,629,0.21322033898305084,555,74,0.15050847457627117,-0.7500000000000004,0.0,0.15050847457627117
0.6500000000000001,566,0.19186440677966102,525,41,0.1521549636803874,-1.0000000000000007,0.0,0.1521549636803874
0.7000000000000001,501,0.16983050847457626,477,24,0.14271186440677966,-1.3333333333333337,0.0,0.14271186440677966
0.7500000000000001,412,0.13966101694915253,396,16,0.11796610169491524,-1.800000000000001,0.0,0.11796610169491524
0.8,270,0.09152542372881356,265,5,0.08305084745762711,-2.5000000000000004,0.0,0.08305084745762711
0.8500000000000001,96,0.03254237288135593,96,0,0.03254237288135593,-3.666666666666669,0.0,0.03254237288135593
0.9000000000000001,0,0.0,0,0,0.0,-6.00000000000001,0.0,0.0
0.9500000000000001,0,0.0,0,0,0.0,-13.000000000000018,0.0,0.0
