group_type,group,n_obs,positive_rate,auc,average_precision,brier,ece_10bin
continent,Africa,520,0.2903846153846154,0.9496401586532421,0.8968932679103764,0.09283709287489579,0.09803815782473696
continent,Asia,740,0.3,0.9429371456398483,0.8732145403050923,0.09664547466876502,0.08830674393440893
continent,Europe,670,0.35074626865671643,0.9556272927366105,0.9209304950767702,0.08912100752936697,0.09094594716245515
continent,North America,440,0.29772727272727273,0.9438474270609452,0.8799238632007578,0.0942079594938949,0.10295173164487227
continent,Oceania,190,0.3,0.9755968869542277,0.9448049974600712,0.07193124196664817,0.10291199777000384
continent,South America,390,0.2282051282051282,0.932322968382545,0.8338971135479847,0.09210402759419062,0.08763357679795132
income_group,high,740,0.3256756756756757,0.9642771019216857,0.9274167511873574,0.08247123808159736,0.10322188889510867
income_group,low,740,0.28783783783783784,0.9388245984445573,0.8671538022920335,0.09982923997785141,0.0877138361284367
income_group,lower_middle,740,0.2905405405405405,0.9465071982281286,0.881061179076676,0.09285057495389308,0.0754596409725976
income_group,upper_middle,730,0.2958904109589041,0.9450028822596916,0.8880068866738058,0.09168663599636448,0.07791677746873933
