feature,importance,target
observed_mobility_signal,0.42267473324078797,economic_vitality
spatial_lag_knowledge_wdist,0.20478482987254346,economic_vitality
ghsl_built_volume_m3,0.07160247558480044,economic_vitality
international_route_share,0.06012776717810294,economic_vitality
ghsl_built_density,0.038416851000192404,economic_vitality
ghsl_built_surface_km2,0.022298940943648326,economic_vitality
longitude,0.020123569433295987,economic_vitality
latitude,0.019725981042608056,economic_vitality
airport_count_mapped,0.017721380388578522,economic_vitality
intersection_density,0.01687040528410878,economic_vitality
flight_connectivity_total,0.016447867914284424,economic_vitality
no2_trop_mean_filled,0.01059280484820139,economic_vitality
arterial_share,0.010481861646749961,economic_vitality
temperature_mean,0.007348999529015587,economic_vitality
flight_degree_centrality,0.005326533247155443,economic_vitality
gravity_access_knowledge,0.005242960818247157,economic_vitality
climate_comfort,0.004850416586176652,economic_vitality
no2_trop_p90_filled,0.0047943646526376815,economic_vitality
road_length_km_total,0.003874751614191496,economic_vitality
precipitation_sum,0.0038014097189266326,economic_vitality
osm_hist_poi_nightlife_count,0.0037260078253105716,economic_vitality
gravity_access_population,0.003408518649388527,economic_vitality
road_access_score,0.003347009156116288,economic_vitality
osm_hist_poi_food_count,0.002273017802202063,economic_vitality
osm_hist_road_length_m,0.0021446979601361187,economic_vitality
osm_hist_poi_retail_count,0.0020014553860378675,economic_vitality
observed_innovation_signal,0.001649582881864678,economic_vitality
osm_hist_building_count,0.0014057235914069403,economic_vitality
no2_trop_anomaly_abs_mean_filled,0.0013409241205343339,economic_vitality
transport_intensity,0.0013364903095437588,economic_vitality
observed_livability_signal,0.0012698578527650733,economic_vitality
commerce_ratio,0.0012221441607540206,economic_vitality
ghsl_built_volume_yoy,0.0010172635044289207,economic_vitality
osm_hist_poi_count,0.0009793600126088175,economic_vitality
ghsl_built_surface_yoy,0.0007943561808322843,economic_vitality
poi_diversity,0.0007253573428906013,economic_vitality
amenity_ratio,0.00047939118716054544,economic_vitality
observed_activity_signal,0.0004480825855551715,economic_vitality
osm_hist_building_yoy,0.00033734278450069327,economic_vitality
road_tier_code,0.00031223150494281835,economic_vitality
no2_trop_anomaly_mean_filled,0.00022925870627154587,economic_vitality
no2_recent_spike_filled,0.00020767631638716398,economic_vitality
osm_hist_poi_food_yoy,0.00020130306313696382,economic_vitality
road_arterial_growth_proxy,0.00019205061026059987,economic_vitality
policy_intensity_mean_iso_year,0.00018771732734274076,economic_vitality
policy_intensity_sum_iso_year,0.00018510867164203197,economic_vitality
poi_backcast_scale,0.0001789446010064842,economic_vitality
policy_intensity_eco_reg_iso_year,0.0001758818698065715,economic_vitality
osm_hist_poi_retail_yoy,0.00017097766916270834,economic_vitality
osm_hist_poi_nightlife_yoy,0.0001547779297017958,economic_vitality
policy_news_proxy_score,0.00015203292326052668,economic_vitality
osm_hist_poi_yoy,0.00011924818997793968,economic_vitality
road_growth_intensity,9.523515948848076e-05,economic_vitality
observed_physical_stress_signal,7.233561439542895e-05,economic_vitality
policy_event_new_count_iso_year,5.825960841882846e-05,economic_vitality
policy_intensity_infra_iso_year,4.804218692509904e-05,economic_vitality
osm_hist_road_yoy,4.1692194832050775e-05,economic_vitality
policy_event_type_count_iso_year,3.8206831935561354e-05,economic_vitality
observed_dynamic_signal,3.6666284091618514e-05,economic_vitality
road_local_growth_proxy,3.513060564313195e-05,economic_vitality
policy_event_count_iso_year,3.0394682660208243e-05,economic_vitality
policy_event_count_infra_iso_year,1.772063445536569e-05,economic_vitality
policy_intensity_sum_iso_year_yoy,8.938307187606391e-06,economic_vitality
no2_year_coverage_share,7.754182748810236e-06,economic_vitality
policy_event_count_eco_reg_iso_year,6.702261185569403e-06,economic_vitality
policy_event_coarse_type_count_iso_year,6.537832462096101e-06,economic_vitality
policy_event_count_digital_iso_year,5.737305778969059e-06,economic_vitality
no2_trop_yoy_mean_filled,4.00012100894855e-06,economic_vitality
no2_backcast_flag,1.333668023173059e-06,economic_vitality
policy_event_count_iso_year_yoy,1.3322902041390932e-06,economic_vitality
policy_intensity_digital_iso_year,6.829571209293674e-07,economic_vitality
has_no2_observation,6.000502435977987e-07,economic_vitality
has_social_observation,0.0,economic_vitality
ghsl_built_contraction,0.0,economic_vitality
social_sentiment_delta_1,0.0,economic_vitality
social_sentiment_buzz,0.0,economic_vitality
has_no2_observation_or_backcast,0.0,economic_vitality
has_poi_observation,0.0,economic_vitality
has_network_connectivity_observation,0.0,economic_vitality
gravity_access_population,0.6824897174544337,livability
climate_comfort,0.13859551350405688,livability
gravity_access_viirs,0.07523320441799579,livability
gravity_access_knowledge,0.03960461660359652,livability
observed_livability_signal,0.015914523309795113,livability
longitude,0.006760258710084758,livability
spatial_lag_log_viirs_ntl_wdist,0.004843550745936608,livability
road_length_km_total,0.0037852795908547275,livability
ghsl_built_density,0.003513917927598789,livability
latitude,0.0034630080347706088,livability
intersection_density,0.0026891515493890476,livability
temperature_mean,0.0020934032281791693,livability
no2_trop_mean_filled,0.001902591626244158,livability
spatial_lag_log_viirs_ntl_wecon,0.0018296236528133434,livability
international_route_share,0.0013452621796060098,livability
observed_mobility_signal,0.0012871984185180302,livability
airport_count_mapped,0.0010581358167393645,livability
osm_hist_building_count,0.0008691495711253097,livability
poi_diversity,0.0006991362644908577,livability
arterial_share,0.0006967570026917036,livability
ghsl_built_volume_m3,0.0006608150980919555,livability
amenity_ratio,0.0006218303801198888,livability
observed_innovation_signal,0.0005798707215654163,livability
commerce_ratio,0.0005356725242985619,livability
spatial_lag_knowledge_wdist,0.0005294047520644938,livability
no2_trop_p90_filled,0.0005129133808682564,livability
road_access_score,0.0005036350303559801,livability
flight_degree_centrality,0.0005027867750992484,livability
viirs_ntl_mean,0.00048798067081928386,livability
viirs_log_mean,0.00046582978216050055,livability
flight_connectivity_total,0.0004384530856340555,livability
ghsl_built_surface_km2,0.0004265818817342351,livability
viirs_ntl_p90,0.00039013516064123795,livability
observed_activity_signal,0.0003555217055981215,livability
