year,treated_actual,treated_counterfactual,gap,post,treated_post_share
2015,35.42329234362342,35.42329234362342,0.0,0,0.0
2016,37.665770843806015,36.230854270605505,1.4349165732005105,0,0.0
2017,42.22628273976244,38.59601371975355,3.630269020008889,1,0.5555555555555556
2018,42.50959376858329,38.515130492899274,3.994463275684012,1,0.6666666666666666
2019,44.524509674097814,38.66557206566755,5.858937608430267,1,0.6666666666666666
2020,43.598524732244584,37.23285525889429,6.3656694733502945,1,0.9166666666666666
2021,44.71601636854314,38.110199552848364,6.605816815694773,1,0.9166666666666666
2022,44.47814137169696,37.00192571068778,7.476215661009178,1,1.0
2023,45.98914506736694,36.641661357733504,9.347483709633437,1,1.0
2024,46.65212222629949,36.52413342515029,10.1279888011492,1,1.0
2025,45.539019806078564,36.68831472650528,8.850705079573281,1,1.0
