target,feature_group,model,feature_count,n_train,n_test,rmse,mae,r2
economic_vitality,macro_context_only,linear,11,2655,295,4.34190149640361,3.241894585786037,0.1962860398517029
economic_vitality,macro_context_only,hist_gradient_boosting,11,2655,295,3.4595237643908114,2.536583209921997,0.4897603366534371
economic_vitality,observed_core,linear,49,2655,295,1.171728872290904,0.7131639495347804,0.9414676660589948
economic_vitality,observed_core,hist_gradient_boosting,49,2655,295,1.2493590370689651,0.7845542124110332,0.933454896632215
economic_vitality,observed_plus_policy,linear,57,2655,295,1.175331308359909,0.7149884537227404,0.9411072019021754
economic_vitality,observed_plus_policy,hist_gradient_boosting,57,2655,295,1.2620919933805868,0.8034239732188797,0.9320915837378696
economic_vitality,mixed_full,linear,68,2655,295,1.1836810646840255,0.7038350149885868,0.9402674604359847
economic_vitality,mixed_full,hist_gradient_boosting,68,2655,295,1.2481040255956355,0.7865463062249158,0.9335885218262351
livability,macro_context_only,linear,11,2655,295,7.668398253535521,5.914525010467944,0.26958489494422244
livability,macro_context_only,hist_gradient_boosting,11,2655,295,5.514555005635611,4.163416460749947,0.6222700921798774
livability,observed_core,linear,49,2655,295,2.6270536800112927,1.8423765447365148,0.9142768106368635
livability,observed_core,hist_gradient_boosting,49,2655,295,2.6690711394468525,1.8483752758923795,0.9115127445139787
livability,observed_plus_policy,linear,57,2655,295,2.637456495612996,1.8314261737504656,0.9135965594683795
livability,observed_plus_policy,hist_gradient_boosting,57,2655,295,2.689713133244558,1.8728923100146095,0.9101387710536136
livability,mixed_full,linear,68,2655,295,2.6577554546351285,1.859682381601519,0.9122614479530549
livability,mixed_full,hist_gradient_boosting,68,2655,295,2.6681334124807212,1.8633726811966218,0.9115749101926923
innovation,macro_context_only,linear,11,2655,295,2.633340438749352,1.9549575898368126,0.23327814549917725
innovation,macro_context_only,hist_gradient_boosting,11,2655,295,2.1641297357630713,1.5424259497304742,0.4821661806585795
innovation,observed_core,linear,49,2655,295,1.4345204126865478,0.8533026973216742,0.772470721002837
innovation,observed_core,hist_gradient_boosting,49,2655,295,1.5042012006700172,0.887451118850887,0.7498297355338904
innovation,observed_plus_policy,linear,57,2655,295,1.4381870859136825,0.8610558077754751,0.7713060924290426
innovation,observed_plus_policy,hist_gradient_boosting,57,2655,295,1.4996683389255354,0.8774007068506284,0.7513352237677311
innovation,mixed_full,linear,68,2655,295,1.4377286908293476,0.8521633599370322,0.7714518529596917
innovation,mixed_full,hist_gradient_boosting,68,2655,295,1.490804875171505,0.8790266655259606,0.7542658957706465
composite_index,macro_context_only,linear,11,2655,295,3.8520272705593843,2.970517440450509,0.3166816024361905
composite_index,macro_context_only,hist_gradient_boosting,11,2655,295,2.9939408315584584,2.1527546498991055,0.5872084161750883
composite_index,observed_core,linear,49,2655,295,1.0002051717562594,0.7278984860089364,0.9539295346221803
composite_index,observed_core,hist_gradient_boosting,49,2655,295,1.0673670871676015,0.7791509379912859,0.9475347167867255
composite_index,observed_plus_policy,linear,57,2655,295,1.0059774321808208,0.7319805978620647,0.9533962478829585
composite_index,observed_plus_policy,hist_gradient_boosting,57,2655,295,1.0763625697479715,0.7852822024656997,0.9466466637766665
composite_index,mixed_full,linear,68,2655,295,1.0226284627122892,0.7532501605292203,0.9518407006311062
composite_index,mixed_full,hist_gradient_boosting,68,2655,295,1.0770390355064987,0.7882677910673349,0.9465795803469378
