risk_decile,n_obs,mean_pred_prob,observed_stall_rate,lift_vs_base_rate
1,30,0.6270641442102942,0.6,2.8095238095238093
2,29,0.4915554230738834,0.5172413793103449,2.42200328407225
3,30,0.3932128253871946,0.13333333333333333,0.6243386243386243
4,29,0.3224293380416484,0.20689655172413793,0.9688013136288999
5,30,0.2699609987070468,0.16666666666666666,0.7804232804232805
6,29,0.22692728628866934,0.1724137931034483,0.8073344280240833
7,29,0.1883354404968063,0.06896551724137931,0.3229337712096333
8,30,0.1533946412114677,0.0,0.0
9,29,0.13127971929256252,0.13793103448275862,0.6458675424192666
10,30,0.0965383866060968,0.13333333333333333,0.6243386243386243
