feature,importance,abs_importance,type
reversal_pressure,-1.2814423501642165,1.2814423501642165,coefficient
jerk_abs,0.8643995811673528,0.8643995811673528,coefficient
accel_abs,0.6794933020203612,0.6794933020203612,coefficient
drawdown_5y,-0.6120311499419164,0.6120311499419164,coefficient
regime_forward_risk,0.30378562803374276,0.30378562803374276,coefficient
social_sentiment_score,0.2594949514748222,0.2594949514748222,coefficient
observed_sentiment_signal,-0.2299000422749731,0.2299000422749731,coefficient
regime_switch_rate_3y,-0.20790520381325087,0.20790520381325087,coefficient
turning_point_risk,0.18054814156486992,0.18054814156486992,coefficient
momentum_gap_2y,0.16920613361302933,0.16920613361302933,coefficient
social_sentiment_volatility,-0.16116760290504456,0.16116760290504456,coefficient
regime_transition_entropy,-0.12377079366048442,0.12377079366048442,coefficient
regime_switch_rate_5y,0.1064186876367448,0.1064186876367448,coefficient
regime_run_length_log,-0.09900479268436704,0.09900479268436704,coefficient
kinetic_energy_score,-0.08982033568074158,0.08982033568074158,coefficient
ar1_growth_5y,0.08399940456176427,0.08399940456176427,coefficient
damping_pressure,-0.07936709291189024,0.07936709291189024,coefficient
growth_abs,0.0626878372353892,0.0626878372353892,coefficient
trend_break_score,0.04987583265921709,0.04987583265921709,coefficient
critical_transition_score,0.04608788882337648,0.04608788882337648,coefficient
social_sentiment_delta_1,-0.020891392133115565,0.020891392133115565,coefficient
regime_self_transition_prob,0.019690446877738757,0.019690446877738757,coefficient
growth_variance_5y,0.006853285272925391,0.006853285272925391,coefficient
