alpha_dynamic,alpha_graph,alpha_critical,alpha_base,selection_objective,mean_continent_gain,std_continent_gain,worst_continent_gain,share_positive_continent_gain,robust_score
0.0,0.0,0.0,1.0,0.6441443411742344,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.05,0.95,0.6514126425312542,0.006246671733947477,0.0015533709392637506,0.004645072692893271,1.0,0.006267768085946774
0.0,0.0,0.1,0.9,0.6603337225747752,0.017284324214851637,0.00500720848507954,0.011472902908635785,1.0,0.01720753516405609
0.0,0.0,0.15000000000000002,0.85,0.6671243388434646,0.022545746875501888,0.006376844108332869,0.017182753802116646,1.0,0.022495199300219863
0.0,0.0,0.2,0.8,0.6737873844050863,0.02846208931565264,0.011629159354921228,0.02018728088430921,1.0,0.02812461743187598
0.0,0.05,0.0,0.95,0.644889978584889,0.0008888788214572729,0.0012176084549848382,-2.4348678596686213e-06,0.6666666666666666,0.0008046784857698095
0.0,0.05,0.05,0.8999999999999999,0.6526586162373771,0.00727233593676672,0.0012000048253673378,0.005771564369539406,1.0,0.007346621052000187
0.0,0.05,0.1,0.85,0.660800406449739,0.018032674547724465,0.0051815513281595876,0.014082877014458428,1.0,0.017951271746981794
0.0,0.05,0.15000000000000002,0.7999999999999999,0.6675906357469552,0.02344221385106804,0.0069649163867543645,0.01720849729582219,1.0,0.023353946431582104
0.0,0.05,0.2,0.75,0.6741976584185552,0.028951591710226248,0.013029074765203767,0.019172739585576526,1.0,0.02851033207389636
0.0,0.1,0.0,0.9,0.6454126679592208,0.001519844327838582,0.0007905411400310175,0.0009181756884675263,1.0,0.0014819675723358298
0.0,0.1,0.05,0.85,0.653737277825726,0.008030524896343594,0.0027946242325456623,0.00579755983598762,1.0,0.007998813690769773
0.0,0.1,0.1,0.8,0.6610997782069287,0.01705799076900527,0.00705269847738327,0.011524641868789431,1.0,0.016832883631468495
0.0,0.1,0.15000000000000002,0.75,0.6680565282883191,0.022606084786875685,0.0078096815917308065,0.014650010866201435,1.0,0.022459554001818913
0.0,0.1,0.2,0.7,0.675052615418289,0.03216390484602949,0.011804571018178046,0.020177802903586173,1.0,0.03183770464945634
