continent,action,selected_city_count,selected_share,mean_q_advantage,mean_policy_confidence,mean_expected_delta_risk_h1,mean_expected_delta_accel_h1
Africa,wait_observe,4,0.07692307692307693,1.4030710950914091,0.3870386130574209,-0.00967846454447751,0.2
Africa,resilience_upgrade,24,0.46153846153846156,8.287667605626703,0.596321694376911,-0.11772047301920956,3.185720710979931
Africa,innovation_pulse,23,0.4423076923076923,5.038392863127917,0.5045883886570737,-0.06698721165620478,6.682588883742841
Africa,anti_overheating,1,0.019230769230769232,11.83061539830338,0.7874489626879158,-0.12793461204037626,-1.8199999999999996
Asia,wait_observe,1,0.013513513513513514,1.3373029489485333,0.4043816602866638,-0.009810758090322794,0.2
Asia,resilience_upgrade,20,0.2702702702702703,6.629499363238833,0.5313477327067133,-0.1161747327242288,3.088154632780034
Asia,innovation_pulse,50,0.6756756756756757,6.347037453888852,0.5418133195278186,-0.06681929273935401,6.596417713623697
Asia,anti_overheating,3,0.04054054054054054,17.94324418584922,0.8763644752306742,-0.13213234061992438,-1.8199999999999996
Europe,wait_observe,1,0.014925373134328358,3.4308706428444253,0.4398787656280795,-0.009605920456586842,0.2
Europe,resilience_upgrade,27,0.40298507462686567,6.883472208223418,0.5485039096652518,-0.11519941643650149,3.168543448433974
Europe,innovation_pulse,37,0.5522388059701493,4.1832400772430125,0.4806985113242015,-0.06568186158417152,6.614215944927656
Europe,anti_overheating,2,0.029850746268656716,21.620965689887523,0.9107035181977394,-0.13595312675660723,-1.8199999999999996
North America,wait_observe,1,0.022727272727272728,0.0,0.3304014702281912,-0.009471880262148624,0.2
North America,resilience_upgrade,17,0.38636363636363635,7.737593992826646,0.5740737676970341,-0.1179700677028206,3.0730246824795224
North America,innovation_pulse,23,0.5227272727272727,5.671137103755815,0.5159646565658236,-0.06662267189509183,6.6922754211963325
North America,anti_overheating,3,0.06818181818181818,13.147056604368466,0.8041869569729357,-0.13167135413503325,-1.8199999999999996
Oceania,wait_observe,1,0.05263157894736842,0.0,0.3966104435107822,-0.009626906482448322,0.2
Oceania,resilience_upgrade,6,0.3157894736842105,10.413110329253076,0.6326756211564731,-0.124756795881947,3.2672155380462513
Oceania,innovation_pulse,11,0.5789473684210527,3.4529964684115515,0.4609808811442276,-0.06640672990290532,6.656514615107577
Oceania,anti_overheating,1,0.05263157894736842,0.0,0.3503190496760253,-0.1255212916828845,-1.8199999999999996
South America,wait_observe,2,0.05128205128205128,0.3154353214222141,0.3377754568519632,-0.00963864200480559,0.2
South America,resilience_upgrade,11,0.28205128205128205,4.150933945014784,0.47030898547322697,-0.11221509428257512,3.270302002132334
South America,innovation_pulse,25,0.6410256410256411,6.124796625461015,0.5283122764728412,-0.06809121507380744,6.760004442662108
South America,anti_overheating,1,0.02564102564102564,19.00305418253194,0.9020480841337297,-0.1315893058337484,-1.8199999999999996
