state_id,kinetic_state,trajectory_regime,risk_bucket,accel_bucket,visit_count,rl_state_value,rl_best_action
overheating|stalling_plateau|r_mid|a_high,overheating,stalling plateau,mid,high,1,-40.645361979557464,anti_overheating
overheating|stalling_plateau|r_high|a_high,overheating,stalling plateau,high,high,1,-47.439596776584345,anti_overheating
steady_cruise|stalling_plateau|r_mid|a_mid,steady cruise,stalling plateau,mid,mid,2,-50.338319005740196,resilience_upgrade
steady_cruise|volatile_rebound|r_high|a_high,steady cruise,volatile rebound,high,high,1,-54.81713298397012,innovation_pulse
deep_cooling|stalling_plateau|r_low|a_high,deep cooling,stalling plateau,low,high,13,-56.92892735144822,resilience_upgrade
steady_cruise|stalling_plateau|r_low|a_high,steady cruise,stalling plateau,low,high,6,-57.30507731219418,resilience_upgrade
deep_cooling|stalling_plateau|r_mid|a_high,deep cooling,stalling plateau,mid,high,1,-58.54933490315338,resilience_upgrade
deep_cooling|volatile_rebound|r_high|a_high,deep cooling,volatile rebound,high,high,1,-59.028628849896265,resilience_upgrade
overheating|volatile_rebound|r_mid|a_mid,overheating,volatile rebound,mid,mid,3,-59.12607802282648,anti_overheating
overheating|stalling_plateau|r_mid|a_mid,overheating,stalling plateau,mid,mid,6,-59.29256099556661,anti_overheating
deep_cooling|stable_mature|r_high|a_low,deep cooling,stable mature,high,low,3,-60.61902133532268,resilience_upgrade
steady_cruise|stalling_plateau|r_low|a_mid,steady cruise,stalling plateau,low,mid,21,-60.714137210036036,resilience_upgrade
overheating|stable_mature|r_high|a_mid,overheating,stable mature,high,mid,11,-60.72277967059795,anti_overheating
overheating|stable_mature|r_high|a_high,overheating,stable mature,high,high,2,-60.822937588163114,anti_overheating
overheating|stable_mature|r_low|a_mid,overheating,stable mature,low,mid,1,-62.45056613261234,anti_overheating
deep_cooling|stalling_plateau|r_low|a_mid,deep cooling,stalling plateau,low,mid,46,-62.711761252804465,resilience_upgrade
mixed_transition|stalling_plateau|r_low|a_high,mixed transition,stalling plateau,low,high,22,-62.83588330182786,resilience_upgrade
deep_cooling|volatile_rebound|r_high|a_mid,deep cooling,volatile rebound,high,mid,2,-63.20505955693749,resilience_upgrade
mixed_transition|stalling_plateau|r_mid|a_high,mixed transition,stalling plateau,mid,high,9,-64.3515052820041,resilience_upgrade
surge_expansion|stalling_plateau|r_high|a_mid,surge expansion,stalling plateau,high,mid,1,-65.53013902841178,resilience_upgrade
