source_continent,target_continent,lead_corr_turning,lead_corr_hazard,same_corr_turning,same_corr_hazard,lead_score,n_year_pairs,lead_score_p_value_perm,lead_score_z_perm,perm_draws
Africa,Asia,0.5205551284970151,-0.26050259217250027,0.9613355221028235,0.7954188985095263,-0.33991939184464093,10,0.328125,0.49976180097442596,320
Africa,Europe,0.4803525595441564,-0.41240489434473077,0.904387456298731,0.8501397401355936,-0.4465834533951558,10,0.528125,-0.09501911767458883,320
Africa,North America,0.5865698128946182,0.4286568477119384,0.9052668731156888,0.9148351794437048,0.044213753587895144,10,0.078125,1.8283389542771717,320
Africa,Oceania,0.3997409842139669,-0.17363677505910882,0.8337403326489898,0.6360223846558832,-0.2731715653127877,10,0.471875,0.18563288412123422,320
Africa,South America,0.1465552367185245,-0.78003283993927,0.911908061431889,0.86053334556827,-0.8036098214001214,10,0.99375,-1.9443320819749417,320
Asia,Africa,0.43364332312934933,-0.3968085367897566,0.9613355221028235,0.7954188985095262,-0.4539979737995815,10,0.565625,-0.08995425769050393,320
Asia,Europe,0.4924117147137307,-0.5349925328123679,0.9612463562845178,0.8517035924959037,-0.5204209704312982,10,0.68125,-0.40637743814609123,320
Asia,North America,0.6247473181314371,0.4246077826252396,0.9606225367151899,0.8389998947015176,0.07084609784953533,10,0.06875,1.9409895236182653,320
Asia,Oceania,0.41131151895185525,0.23752775818520497,0.8305483487794725,0.8088881392683114,-0.0930456610061903,10,0.11875,1.1868541277416305,320
Asia,South America,0.10909504715195555,-0.6909758544542921,0.8768796997142029,0.8649779464247449,-0.7658132726017447,10,0.978125,-1.8908695105716515,320
Europe,Africa,0.4085831277360686,-0.550872818167971,0.9043874562987311,0.8501397401355936,-0.5550370558115774,10,0.784375,-0.6536542892264863,320
Europe,Asia,0.4647912129835126,-0.28926971915718286,0.9612463562845177,0.8517035924959037,-0.3977026486995445,10,0.409375,0.3014112766947746,320
Europe,North America,0.5663976230863912,0.5880008581072027,0.9270075855460029,0.8093062199327243,0.1500860192588196,10,0.021875,2.2737743197707814,320
Europe,Oceania,0.2837912625253123,0.13853311867625306,0.7801403785210576,0.6092017597662381,-0.1348893202257532,10,0.2875,0.7143120968014954,320
Europe,South America,0.09841318437046644,-0.8767780598198699,0.8787559600640853,0.8611718707208978,-0.872044753163305,10,0.99375,-2.107904795570842,320
North America,Africa,0.4012966982842095,-0.3911160856145223,0.9052668731156887,0.9148351794437048,-0.4900342613163422,10,0.634375,-0.15742723299281633,320
North America,Asia,0.5063935731804655,-0.256114797114251,0.96062253671519,0.8389998947015176,-0.3568105062351219,10,0.371875,0.4718672465588081,320
North America,Europe,0.48904143142767953,-0.5763804228867222,0.9270075855460028,0.8093062199327243,-0.5251339715342593,10,0.7375,-0.5687219302136841,320
North America,Oceania,0.4989608907722972,-0.1504677631131292,0.8963627286542949,0.7007435202361028,-0.24772047066637712,10,0.409375,0.4384520517533004,320
North America,South America,0.08640824257514945,-0.7543531661021626,0.7694490674578803,0.7249999787719392,-0.7474003393205301,10,1.0,-2.4822976264741214,320
Oceania,Africa,0.36540535403865176,-0.23559013696566797,0.8337403326489897,0.6360223846558832,-0.322696947940287,10,0.46875,0.16612646797297725,320
Oceania,Asia,0.5033038639432958,-0.033043795021661215,0.8305483487794724,0.8088881392683113,-0.20046346002381837,10,0.15,1.0555815099165022,320
Oceania,Europe,0.545281057523666,-0.30215788544508554,0.7801403785210576,0.6092017597662381,-0.2595989647432303,10,0.3125,0.4050887983437861,320
Oceania,North America,0.5982250768400786,0.5170192239774427,0.8963627286542949,0.7007435202361028,0.16406625596393914,10,0.01875,2.1296694267904823,320
Oceania,South America,0.16002451017823427,-0.580479890092611,0.7030768794500447,0.6666834094436721,-0.5878733086938412,10,0.9625,-1.6939938648065977,320
South America,Africa,0.45134353908035363,-0.3347900794590685,0.911908061431889,0.8605333455682699,-0.4215715670731873,10,0.490625,-0.028016057684871868,320
South America,Asia,0.4638660178080649,-0.19610381931781026,0.8768796997142029,0.8649779464247451,-0.33398671648143063,10,0.375,0.31134742271575283,320
South America,Europe,0.49112151181512603,-0.3705903703681088,0.8787559600640853,0.8611718707208978,-0.41692277661473953,10,0.46875,0.07544346416078691,320
South America,North America,0.43060275746355653,0.4703986249601199,0.7694490674578804,0.7249999787719392,0.08110067746350855,10,0.08125,1.718413045805945,320
South America,Oceania,0.13615091634337684,0.22158325837350432,0.7030768794500448,0.6666834094436721,-0.15748169426316364,10,0.25625,0.7411555986467517,320
