feature,importance
growth_1,0.21441798941798945
observed_physical_stress_signal,0.07236361977741292
regime_switch_rate_5y,0.03092957489509215
accel_1,0.027946542601715044
regime_forward_risk,0.020256340083926325
viirs_recent_drop,0.01803046889253789
basic_infra_n,0.016662105455208926
viirs_intra_year_decline,0.015252691114760108
clean_air_n,0.010472541507024294
regime_switch_rate_3y,0.009441707717569832
regime_year_share,0.008775770844736375
regime_self_transition_prob,0.008657179346834572
ghsl_built_surface_km2,0.007407407407407426
ghsl_built_volume_yoy,0.00738460135011861
gdp_growth,0.004807516876482421
ghsl_built_surface_yoy,0.0006157635467980427
digital_delta_1,5.0173326035400184e-05
knowledge_delta_1,3.6489691662093074e-05
social_sentiment_buzz,0.0
ghsl_built_contraction,0.0
observed_sentiment_signal,0.0
social_sentiment_score,0.0
social_sentiment_volatility,0.0
social_sentiment_positive_share,0.0
social_sentiment_negative_share,0.0
social_sentiment_delta_1,0.0
air_quality_improve_1,0.0
viirs_intra_year_recovery,-0.0010627622696588086
vol_3,-0.0017834336799853764
regime_run_length_log,-0.00226692209450828
inflation,-0.0024630541871920745
regime_transition_entropy,-0.0028553183725597603
ghsl_built_density,-0.008324210910417802
