city_id,continent,state,start_year,end_year,duration,exit_observed
abu_dhabi_ae,Asia,stall_trap,2021,2021,1,1
addis_ababa_et,Africa,stall_trap,2015,2015,1,1
adelaide_au,Oceania,stall_trap,2018,2018,1,1
alexandria_eg,Africa,stall_trap,2023,2023,1,1
algiers_dz,Africa,stall_trap,2015,2015,1,1
almaty_kz,Asia,stall_trap,2015,2015,1,1
amsterdam_nl,Europe,stall_trap,2015,2015,1,1
antananarivo_mg,Africa,stall_trap,2015,2015,1,1
antwerp_be,Europe,stall_trap,2015,2015,1,1
antwerp_be,Europe,stall_trap,2019,2019,1,1
arequipa_pe,South America,stall_trap,2019,2019,1,1
arequipa_pe,South America,stall_trap,2022,2022,1,1
ashgabat_tm,Asia,stall_trap,2024,2024,1,1
asuncion_py,South America,stall_trap,2021,2021,1,1
asuncion_py,South America,stall_trap,2025,2025,1,0
athens_gr,Europe,stall_trap,2015,2015,1,1
atlanta_us,North America,stall_trap,2015,2015,1,1
auckland_nz,Oceania,stall_trap,2020,2020,1,1
bangkok_th,Asia,stall_trap,2025,2025,1,0
barcelona_es,Europe,stall_trap,2015,2015,1,1
barcelona_es,Europe,stall_trap,2022,2022,1,1
basel_ch,Europe,stall_trap,2015,2015,1,1
beirut_lb,Asia,stall_trap,2015,2015,1,1
belem_br,South America,stall_trap,2020,2020,1,1
belgrade_rs,Europe,stall_trap,2023,2023,1,1
bengaluru_in,Asia,stall_trap,2024,2024,1,1
berlin_de,Europe,stall_trap,2019,2019,1,1
bilbao_es,Europe,stall_trap,2015,2015,1,1
bishkek_kg,Asia,stall_trap,2015,2015,1,1
bishkek_kg,Asia,stall_trap,2024,2024,1,1
bogota_co,South America,stall_trap,2015,2015,1,1
brazzaville_cg,Africa,stall_trap,2015,2015,1,1
brazzaville_cg,Africa,stall_trap,2022,2022,1,1
brisbane_au,Oceania,stall_trap,2024,2024,1,1
brussels_be,Europe,stall_trap,2023,2023,1,1
bucharest_ro,Europe,stall_trap,2015,2015,1,1
bucharest_ro,Europe,stall_trap,2023,2023,1,1
bujumbura_bi,Africa,stall_trap,2023,2024,2,1
busan_kr,Asia,stall_trap,2015,2015,1,1
busan_kr,Asia,stall_trap,2018,2018,1,1
cali_co,South America,stall_trap,2015,2015,1,1
caracas_ve,South America,stall_trap,2015,2015,1,1
caracas_ve,South America,stall_trap,2025,2025,1,0
cartagena_co,South America,stall_trap,2015,2015,1,1
casablanca_ma,Africa,stall_trap,2015,2015,1,1
charlotte_us,North America,stall_trap,2015,2015,1,1
chengdu_cn,Asia,stall_trap,2015,2015,1,1
cologne_de,Europe,stall_trap,2015,2015,1,1
colombo_lk,Asia,stall_trap,2025,2025,1,0
conakry_gn,Africa,stall_trap,2015,2015,1,1
copenhagen_dk,Europe,stall_trap,2015,2015,1,1
cusco_pe,South America,stall_trap,2015,2015,1,1
dar_es_salaam_tz,Africa,stall_trap,2015,2015,1,1
denver_us,North America,stall_trap,2025,2025,1,0
detroit_us,North America,stall_trap,2024,2024,1,1
djibouti_city_dj,Africa,stall_trap,2015,2015,1,1
