year,actual,synthetic,gap,post
2015,4.8267057659283745,4.239797144235868,0.5869086216925066,0
2016,4.830597778504473,4.248856525945543,0.5817412525589303,0
2017,4.827273202847911,4.245196244782062,0.5820769580658487,0
2018,4.871890327991263,4.278833832137927,0.593056495853336,0
2019,4.8530648923069535,4.266821819128758,0.5862430731781956,0
2020,4.754932687812866,4.229352612501443,0.5255800753114235,1
2021,4.74529437052912,,,1
2022,4.7387755500092,,,1
2023,4.870152807199437,,,1
2024,4.997133442171824,,,1
2025,5.084448389064866,,,1
