gate,metric,value,threshold,direction,passed,gap_ratio
innovation_auc,best_frontier_eval_roc_auc,0.7445265462506843,0.75,min,0,0.0072979383324209834
innovation_brier,best_frontier_eval_brier,0.1741984267382071,0.22,max,1,-0.20818896937178594
identification_strength,identification_strength_primary_weighted,25.242661707747537,18.0,min,1,-0.4023700948748632
identification_robustness,identification_robust_pass_rate_primary_weighted,0.16666666666666666,0.04,min,1,-3.166666666666666
evidence_convergence,evidence_overall_score_0_100,67.13456362034465,70.0,min,0,0.04093480542364785
dynamic_envelope_pretrend_noise,dce_event_pre_abs_median,0.01376431908791687,0.1,max,1,-0.8623568091208313
dynamic_envelope_continent_coverage,dce_continents_covered,6.0,6.0,min,1,0.0
dynamic_envelope_frontier_quality,dce_top10_envelope_score_mean,76.65435002950538,70.0,min,1,-0.09506214327864829
dynamic_envelope_post_ci_share,dce_event_post_ci_above_zero_share,0.75,0.5,min,1,-0.5
dynamic_envelope_continent_stability,dce_mean_continent_stability_score,49.45642197869674,40.0,min,1,-0.23641054946741846
dynamic_envelope_stall_trap_share,dce_stall_trap_share,0.02711864406779661,0.2,max,1,-0.864406779661017
dynamic_warning_auc_h2,pulse_dynamics_warning_auc_h2,0.645441936413409,0.62,min,1,-0.041035381311949955
dynamic_warning_auc_h3,pulse_dynamics_warning_auc_h3,0.6187786995948292,0.54,min,1,-0.14588648073116517
dynamic_transition_coverage,pulse_dynamics_transition_continent_coverage,6.0,6.0,min,1,0.0
dynamic_stall_exit_half_life,pulse_dynamics_stall_exit_half_life,1.0,2.5,max,1,-0.6
dynamic_nowcast_directional_accuracy,pulse_nowcast_global_backtest_directional_accuracy,0.5,0.52,min,0,0.03846153846153849
dynamic_nowcast_coverage95,pulse_nowcast_global_backtest_coverage95,0.9,0.7,min,1,-0.2857142857142858
dynamic_nowcast_continent_coverage,pulse_nowcast_continents_covered,6.0,6.0,min,1,0.0
dynamic_method_mae_gain,dynamic_method_core_mae_gain_vs_ridge_ar2,1.720721073161906,0.25,min,1,-5.882884292647624
dynamic_method_ternary_gain,dynamic_method_core_ternary_gain_vs_ridge_ar2,-0.005649717514124242,0.01,min,0,1.5649717514124244
dynamic_method_abs_significance,dynamic_method_core_p_value_mae_improve_vs_ridge_ar2,0.0,0.05,max,1,-1.0
dynamic_method_direction_significance,dynamic_method_core_p_value_ternary_improve_vs_ridge_ar2,0.6935,0.1,max,0,5.935
dynamic_method_coverage,dynamic_method_core_continents_covered,6.0,6.0,min,1,0.0
