city_id,city_name,iso3,year,ghsl_built_surface_km2,ghsl_built_surface_nres_km2,ghsl_built_volume_m3,ghsl_built_volume_nres_m3,ghsl_source
cairo_eg,Cairo,EGY,2015,340.94966,15.679232,4.705047831E9,2.13458121E8,gee_ghsl_p2023a
alexandria_eg,Alexandria,EGY,2015,70.460907,4.845528,9.60708387E8,6.3398731E7,gee_ghsl_p2023a
lagos_ng,Lagos,NGA,2015,401.070917,19.881789,4.009223608E9,2.35027835E8,gee_ghsl_p2023a
abuja_ng,Abuja,NGA,2015,67.169337,0.615265,5.97864311E8,7541979.0,gee_ghsl_p2023a
johannesburg_za,Johannesburg,ZAF,2015,448.076533,36.306486,3.683230759E9,3.88165721E8,gee_ghsl_p2023a
cape_town_za,Cape Town,ZAF,2015,165.470713,11.385816,1.236250449E9,1.17466827E8,gee_ghsl_p2023a
nairobi_ke,Nairobi,KEN,2015,117.801,6.176525,1.094059841E9,7.2774351E7,gee_ghsl_p2023a
addis_ababa_et,Addis Ababa,ETH,2015,103.631719,3.169652,9.74708669E8,3.2974901E7,gee_ghsl_p2023a
accra_gh,Accra,GHA,2015,331.025078,8.885999,2.636157896E9,8.1405518E7,gee_ghsl_p2023a
dar_es_salaam_tz,Dar es Salaam,TZA,2015,190.273652,6.131699,1.503403295E9,5.7318101E7,gee_ghsl_p2023a
kampala_ug,Kampala,UGA,2015,159.408771,5.853347,1.211044129E9,5.5051594E7,gee_ghsl_p2023a
kigali_rw,Kigali,RWA,2015,45.732928,0.297755,4.09827566E8,2782549.0,gee_ghsl_p2023a
casablanca_ma,Casablanca,MAR,2015,62.048805,9.664853,5.9395901E8,9.3541265E7,gee_ghsl_p2023a
rabat_ma,Rabat,MAR,2015,24.52296,1.151252,2.00938971E8,8475754.0,gee_ghsl_p2023a
algiers_dz,Algiers,DZA,2015,92.746144,9.115982,8.70543672E8,7.8425781E7,gee_ghsl_p2023a
tunis_tn,Tunis,TUN,2015,110.79661,9.316633,8.5751915E8,8.576765E7,gee_ghsl_p2023a
tripoli_ly,Tripoli,LBY,2015,111.375695,3.276736,9.92664306E8,3.3726173E7,gee_ghsl_p2023a
dakar_sn,Dakar,SEN,2015,70.346992,2.783451,6.29674601E8,2.7337393E7,gee_ghsl_p2023a
luanda_ao,Luanda,AGO,2015,249.392628,5.28737,1.742774408E9,3.9001067E7,gee_ghsl_p2023a
maputo_mz,Maputo,MOZ,2015,152.13006,4.370825,1.036735439E9,4.1825768E7,gee_ghsl_p2023a
harare_zw,Harare,ZWE,2015,107.231203,8.869418,6.7604864E8,7.7564668E7,gee_ghsl_p2023a
lusaka_zm,Lusaka,ZMB,2015,104.36395,6.050817,6.66956466E8,4.7561819E7,gee_ghsl_p2023a
gaborone_bw,Gaborone,BWA,2015,33.713182,1.974959,2.25544898E8,1.7783547E7,gee_ghsl_p2023a
kinshasa_cd,Kinshasa,COD,2015,155.394189,4.454269,1.318405184E9,4.0508524E7,gee_ghsl_p2023a
abidjan_ci,Abidjan,CIV,2015,133.258003,8.908512,1.247676313E9,9.6914674E7,gee_ghsl_p2023a
khartoum_sd,Khartoum,SDN,2015,239.003188,2.419016,1.937647186E9,2.4747583E7,gee_ghsl_p2023a
antananarivo_mg,Antananarivo,MDG,2015,58.560686,2.041352,5.16120317E8,1.996785E7,gee_ghsl_p2023a
ibadan_ng,Ibadan,NGA,2015,169.265599,0.089181,1.432859084E9,793766.0,gee_ghsl_p2023a
kano_ng,Kano,NGA,2015,119.421119,3.074224,8.90485305E8,2.922283E7,gee_ghsl_p2023a
port_harcourt_ng,Port Harcourt,NGA,2015,82.349249,2.044081,6.56002812E8,1.9853798E7,gee_ghsl_p2023a
durban_za,Durban,ZAF,2015,185.13217,9.027281,2.021234376E9,1.09145081E8,gee_ghsl_p2023a
pretoria_za,Pretoria,ZAF,2015,119.940773,5.813599,9.91020914E8,6.1146507E7,gee_ghsl_p2023a
mombasa_ke,Mombasa,KEN,2015,33.343515,1.510314,2.55294377E8,1.3878713E7,gee_ghsl_p2023a
kisumu_ke,Kisumu,KEN,2015,12.146072,0.291478,8.3142791E7,2381411.0,gee_ghsl_p2023a
kumasi_gh,Kumasi,GHA,2015,135.443732,1.060601,1.15102371E9,9645196.0,gee_ghsl_p2023a
douala_cm,Douala,CMR,2015,73.411665,5.370452,6.71890647E8,5.0758185E7,gee_ghsl_p2023a
yaounde_cm,Yaounde,CMR,2015,75.522693,3.306379,8.42381608E8,3.8377527E7,gee_ghsl_p2023a
brazzaville_cg,Brazzaville,COG,2015,49.159899,0.491264,4.00098091E8,4246614.0,gee_ghsl_p2023a
conakry_gn,Conakry,GIN,2015,87.329793,1.830489,6.517948E8,1.4147512E7,gee_ghsl_p2023a
niamey_ne,Niamey,NER,2015,45.98909,0.49176,3.19257674E8,3715672.0,gee_ghsl_p2023a
bamako_ml,Bamako,MLI,2015,111.344105,1.375403,8.82193479E8,1.1512825E7,gee_ghsl_p2023a
nouakchott_mr,Nouakchott,MRT,2015,47.01934,0.227737,3.63191141E8,1675600.0,gee_ghsl_p2023a
djibouti_city_dj,Djibouti City,DJI,2015,12.503019,1.084592,1.12231353E8,9587361.0,gee_ghsl_p2023a
mogadishu_so,Mogadishu,SOM,2015,46.023234,0.645683,3.33581962E8,5369890.0,gee_ghsl_p2023a
bujumbura_bi,Bujumbura,BDI,2015,31.982214,1.043239,3.08040458E8,1.023667E7,gee_ghsl_p2023a
lilongwe_mw,Lilongwe,MWI,2015,33.769069,0.913457,2.15963445E8,6958150.0,gee_ghsl_p2023a
windhoek_na,Windhoek,NAM,2015,24.136004,2.718051,2.45153346E8,2.9149472E7,gee_ghsl_p2023a
freetown_sl,Freetown,SLE,2015,44.198655,0.657504,4.80604366E8,7277334.0,gee_ghsl_p2023a
monrovia_lr,Monrovia,LBR,2015,64.058847,1.254217,4.96835381E8,1.1468637E7,gee_ghsl_p2023a
ouagadougou_bf,Ouagadougou,BFA,2015,133.404725,1.43333,9.07063971E8,1.1105643E7,gee_ghsl_p2023a
bobo_dioulasso_bf,Bobo-Dioulasso,BFA,2015,36.17787,0.89676,2.56711705E8,7162063.0,gee_ghsl_p2023a
mwanza_tz,Mwanza,TZA,2015,36.668668,1.699211,3.36784662E8,1.7448837E7,gee_ghsl_p2023a
beijing_cn,Beijing,CHN,2015,514.200234,62.009969,8.118960881E9,9.05624473E8,gee_ghsl_p2023a
shanghai_cn,Shanghai,CHN,2015,669.858769,96.346987,8.85802173E9,1.295225099E9,gee_ghsl_p2023a
shenzhen_cn,Shenzhen,CHN,2015,1307.016936,184.723106,1.9409742944E10,2.640479794E9,gee_ghsl_p2023a
guangzhou_cn,Guangzhou,CHN,2015,1307.016936,184.723106,1.9409742944E10,2.640479794E9,gee_ghsl_p2023a
chengdu_cn,Chengdu,CHN,2015,199.607224,25.178845,2.718366254E9,2.95564863E8,gee_ghsl_p2023a
wuhan_cn,Wuhan,CHN,2015,156.569599,17.471238,2.682440143E9,2.56503531E8,gee_ghsl_p2023a
hong_kong_hk,Hong Kong,HKG,2015,26.483484,8.158268,6.66592841E8,2.18359779E8,gee_ghsl_p2023a
taipei_tw,Taipei,TWN,2015,194.577414,33.47334,2.854247287E9,5.16982341E8,gee_ghsl_p2023a
kaohsiung_tw,Kaohsiung,TWN,2015,90.551394,22.806187,1.323250829E9,3.6307498E8,gee_ghsl_p2023a
tokyo_jp,Tokyo,JPN,2015,1423.184476,100.451211,1.9628559216E10,1.623000021E9,gee_ghsl_p2023a
osaka_jp,Osaka,JPN,2015,630.146578,64.730803,9.125716708E9,1.037644708E9,gee_ghsl_p2023a
nagoya_jp,Nagoya,JPN,2015,645.904134,59.690371,7.772049952E9,8.36544107E8,gee_ghsl_p2023a
fukuoka_jp,Fukuoka,JPN,2015,120.010628,5.847691,1.778648902E9,9.1425735E7,gee_ghsl_p2023a
sapporo_jp,Sapporo,JPN,2015,111.641449,5.063452,1.591560159E9,8.0898538E7,gee_ghsl_p2023a
yokohama_jp,Yokohama,JPN,2015,1423.184476,100.451211,1.9628559216E10,1.623000021E9,gee_ghsl_p2023a
seoul_kr,Seoul,KOR,2015,448.583967,61.31945,8.056444233E9,1.145834213E9,gee_ghsl_p2023a
busan_kr,Busan,KOR,2015,64.824636,6.77527,1.238131729E9,1.17678249E8,gee_ghsl_p2023a
