country,continent,city_count,observed_rows,objective_rows,verified_rows,years_observed,expected_rows,row_coverage,objective_row_ratio,verified_row_ratio,year_coverage
Albania,Europe,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Algeria,Africa,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Angola,Africa,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Argentina,South America,5,55,55,55,11,55,1.0,1.0,1.0,1.0
Armenia,Asia,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Australia,Oceania,11,121,121,121,11,121,1.0,1.0,1.0,1.0
Austria,Europe,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Azerbaijan,Asia,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Bangladesh,Asia,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Belarus,Europe,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Belgium,Europe,2,22,22,22,11,22,1.0,1.0,1.0,1.0
Bolivia,South America,2,22,22,22,11,22,1.0,1.0,1.0,1.0
Bosnia and Herzegovina,Europe,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Botswana,Africa,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Brazil,South America,11,121,121,121,11,121,1.0,1.0,1.0,1.0
Bulgaria,Europe,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Burkina Faso,Africa,2,22,22,22,11,22,1.0,1.0,1.0,1.0
Burundi,Africa,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Cambodia,Asia,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Cameroon,Africa,2,22,22,22,11,22,1.0,1.0,1.0,1.0
Canada,North America,8,88,88,88,11,88,1.0,1.0,1.0,1.0
Chile,South America,3,33,33,33,11,33,1.0,1.0,1.0,1.0
China,Asia,6,66,66,66,11,66,1.0,1.0,1.0,1.0
Colombia,South America,5,55,55,55,11,55,1.0,1.0,1.0,1.0
Costa Rica,North America,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Cote d'Ivoire,Africa,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Croatia,Europe,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Cuba,North America,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Czechia,Europe,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Democratic Republic of the Congo,Africa,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Denmark,Europe,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Djibouti,Africa,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Dominican Republic,North America,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Ecuador,South America,2,22,22,22,11,22,1.0,1.0,1.0,1.0
Egypt,Africa,2,22,22,22,11,22,1.0,1.0,1.0,1.0
El Salvador,North America,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Estonia,Europe,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Ethiopia,Africa,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Fiji,Oceania,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Finland,Europe,1,11,11,11,11,11,1.0,1.0,1.0,1.0
France,Europe,5,55,55,55,11,55,1.0,1.0,1.0,1.0
Georgia,Asia,1,11,11,11,11,11,1.0,1.0,1.0,1.0
Germany,Europe,7,77,77,77,11,77,1.0,1.0,1.0,1.0
Ghana,Africa,2,22,22,22,11,22,1.0,1.0,1.0,1.0
Greece,Europe,2,22,22,22,11,22,1.0,1.0,1.0,1.0
Guatemala,North America,1,11,11,11,11,11,1.0,1.0,1.0,1.0
