year,economic_vitality,livability,innovation,composite_index
2015,28.65291788164338,38.34224064508172,21.436201614167974,30.600837595351717
2016,28.64821357252084,37.24863091430884,20.759454715211348,30.08060787068474
2017,29.49141519235002,36.79335218555837,21.279187470503224,30.404647595603578
2018,30.115334912387045,36.18725985948406,21.659213230149494,30.54928430742349
2019,30.597847583897583,35.7809126159064,21.85671629468838,30.66369408725883
2020,30.53918655887668,35.15930360713207,21.690397127766364,30.386469639544003
2021,30.644044013681906,35.09888971561846,21.590437761839578,30.392518758991237
2022,30.72774554094878,35.19961095535343,21.587275295271144,30.464804386854883
2023,30.822080258929525,34.97751733358656,21.692569511779848,30.450581085629555
2024,30.9146625879702,34.67653077922312,21.873708885336352,30.423125714381957
2025,30.905565428893624,35.10862188790911,21.93082398497395,30.581686900765106
