event_id,iso3,start_year,end_year,effective_date,policy_name,policy_intensity,source_ref,source_track,evidence_grade,project_id_count,project_ids,source_url_count,primary_source_url,source_domain,has_objective_source,is_external_direct,is_objective_indicator,is_objective_macro,is_ai_inferred,commitment_usd,project_count,assignment_type
pevt_000001,AGO,2015,2015,2015-01-01,institutional_reform,0.798151201306748,wb_project:P153243|P155323,external_direct,A,2,P153243|P155323,2,https://projects.worldbank.org/en/projects-operations/project-detail/P153243,projects.worldbank.org,1,1,0,0,0,650000000.0,2.0,explicit
pevt_000002,AGO,2019,2019,2019-01-01,digital_connectivity,0.5979924787661521,wb_project:P166564,external_direct,A,1,P166564,1,https://projects.worldbank.org/en/projects-operations/project-detail/P166564,projects.worldbank.org,1,1,0,0,0,500000000.0,1.0,explicit
pevt_000003,AGO,2019,2019,2019-01-01,urban_services,0.5979924787661521,wb_project:P163610,external_direct,A,1,P163610,1,https://projects.worldbank.org/en/projects-operations/project-detail/P163610,projects.worldbank.org,1,1,0,0,0,500000000.0,1.0,explicit
pevt_000004,AGO,2021,2021,2021-01-01,institutional_reform,0.875,wb_project:P168336|P176630,external_direct,A,2,P168336|P176630,2,https://projects.worldbank.org/en/projects-operations/project-detail/P168336,projects.worldbank.org,1,1,0,0,0,850000000.0,2.0,explicit
pevt_000005,AGO,2022,2022,2022-01-01,energy_transition,0.5979924787661521,wb_project:P169983,external_direct,A,1,P169983,1,https://projects.worldbank.org/en/projects-operations/project-detail/P169983,projects.worldbank.org,1,1,0,0,0,500000000.0,1.0,explicit
pevt_000006,AGO,2022,2022,2022-01-01,urban_services,0.9679392022663762,wb_project:P177004|P178040|P178043,external_direct,A,3,P177004|P178040|P178043,3,https://projects.worldbank.org/en/projects-operations/project-detail/P177004,projects.worldbank.org,1,1,0,0,0,760000000.0,3.0,explicit
pevt_000007,AGO,2023,2023,2023-01-01,institutional_reform,0.7229924787661521,wb_project:P178035|P180631,external_direct,A,2,P178035|P180631,2,https://projects.worldbank.org/en/projects-operations/project-detail/P178035,projects.worldbank.org,1,1,0,0,0,500000000.0,2.0,explicit
pevt_000008,AGO,2023,2023,2023-01-01,urban_mobility,0.5979924787661521,wb_project:P179512,external_direct,A,1,P179512,1,https://projects.worldbank.org/en/projects-operations/project-detail/P179512,projects.worldbank.org,1,1,0,0,0,500000000.0,1.0,explicit
pevt_000009,AGO,2024,2024,2024-01-01,urban_mobility,0.5979924787661521,wb_project:P179513,external_direct,A,1,P179513,1,https://projects.worldbank.org/en/projects-operations/project-detail/P179513,projects.worldbank.org,1,1,0,0,0,500000000.0,1.0,explicit
pevt_000010,AGO,2024,2024,2024-01-01,urban_services,0.8193806950794292,wb_project:P181160|P181495,external_direct,A,2,P181160|P181495,2,https://projects.worldbank.org/en/projects-operations/project-detail/P181160,projects.worldbank.org,1,1,0,0,0,700000000.0,2.0,explicit
