risk_decile,n_obs,mean_pred_prob,observed_stall_rate,lift_vs_base_rate
1,30,0.6209054783962674,0.6,2.8095238095238093
2,29,0.4858411691288861,0.4137931034482758,1.9376026272578
3,30,0.3867141619574053,0.3,1.4047619047619049
4,29,0.3191855675821566,0.1379310344827586,0.6458675424192666
5,30,0.2639349828326873,0.2666666666666666,1.2486772486772486
6,29,0.2233295176055735,0.0344827586206896,0.1614668856048166
7,29,0.1862126239772448,0.1379310344827586,0.6458675424192666
8,30,0.1571322361458483,0.0333333333333333,0.156084656084656
9,29,0.1324065753684598,0.0689655172413793,0.3229337712096333
10,30,0.0981555600075482,0.1333333333333333,0.6243386243386243
