year,mean_growth,mean_accel,mean_jerk,mean_stall_risk,mean_kinetic_energy,mean_turning_risk,city_count,share_deep_cooling,share_mixed_transition,share_overheating,share_recovery_rebound,share_steady_cruise,share_surge_expansion,cycle_tension,cycle_balance,global_cycle_phase
2015,-0.0359821169767791,0.1114801839822696,0.0,64.27343842043221,0.0,0.0,295,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,expansion_phase
2016,-0.5202297246669743,0.1114801839822696,0.0,34.22928194140508,24.218088029030174,0.0,295,0.0,0.8677966101694915,0.0,0.0,0.1322033898305084,0.0,0.0,1.0,expansion_phase
2017,0.3240397249188381,0.8442694495858123,0.7327892656035427,39.45955746313244,20.575089140451247,25.408282674976608,295,0.1389830508474576,0.3152542372881356,0.0135593220338983,0.0576271186440678,0.0406779661016949,0.4338983050847457,-0.3389830508474576,0.847457627118644,expansion_phase
2018,0.1446367118199087,-0.1794030130989294,-1.0236724626847418,41.92328525882888,20.68410222225537,21.387236638169096,295,0.288135593220339,0.247457627118644,0.0745762711864406,0.0135593220338983,0.0508474576271186,0.3254237288135593,0.023728813559322,0.6372881355932203,rebalancing_phase
2019,0.1144097798353384,-0.0302269319845702,0.1491760811143592,41.900849106576864,19.98931926152945,22.46843775191733,295,0.2949152542372881,0.3186440677966101,0.0372881355932203,0.0101694915254237,0.0644067796610169,0.2745762711864407,0.0474576271186441,0.6677966101694914,stress_phase
2020,-0.277224447714828,-0.3916342275501666,-0.3614072955655963,40.90618209435928,15.963448678432696,17.702210208452602,295,0.3627118644067796,0.2644067796610169,0.0305084745762711,0.0271186440677966,0.0644067796610169,0.2508474576271186,0.1152542372881356,0.6067796610169491,stress_phase
2021,0.0060491194472356,0.2832735671620636,0.6749077947122302,39.00047670749854,17.372772056058437,19.56782498580664,295,0.3322033898305084,0.2271186440677966,0.0440677966101694,0.0440677966101694,0.0542372881355932,0.2983050847457627,0.0338983050847457,0.6237288135593221,rebalancing_phase
2022,0.0722856278636461,0.0662365084164105,-0.2170370587456531,41.15152175434421,21.00658136515576,23.642720479083263,295,0.2949152542372881,0.2542372881355932,0.0406779661016949,0.0203389830508474,0.0406779661016949,0.3491525423728813,-0.0338983050847457,0.6644067796610169,expansion_phase
2023,-0.0142233012253314,-0.0865089290889775,-0.1527454375053881,40.63015026243195,17.614285270687123,20.76869323043568,295,0.3322033898305084,0.2915254237288135,0.023728813559322,0.0101694915254237,0.0542372881355932,0.288135593220339,0.0576271186440677,0.6440677966101696,stress_phase
2024,-0.0274553712475975,-0.0132320700222661,0.0732768590667114,41.06953590421895,19.320918216605293,20.08292813644565,295,0.3050847457627119,0.2813559322033898,0.0372881355932203,0.0271186440677966,0.0779661016949152,0.2711864406779661,0.0440677966101695,0.6576271186440678,stress_phase
2025,0.1585611863831548,0.1860165576307524,0.1992486276530185,42.44710791647635,18.934722518993595,21.9126296858772,295,0.2610169491525423,0.2338983050847457,0.0372881355932203,0.0203389830508474,0.0677966101694915,0.3796610169491525,-0.1016949152542373,0.7016949152542373,expansion_phase
