phase_risk_bin,phase_accel_bin,risk_center,accel_center,risk_velocity,accel_velocity,flow_speed,mean_curvature,n_obs,divergence,vorticity,phase_label
0,0,18.35210825470314,25.135523736919808,-35.97762781319792,-10.4383427803863,49.455801467834185,0.0012705783672258,171,0.9681824867768648,-2.3715406650005475,rotational_transition
0,1,19.524182748157155,41.50048830337127,-17.01117560591432,-9.600590885462216,22.283764609225663,-0.0178668088206039,62,-0.1602884028885348,0.5304916041569971,directional_drift
0,2,19.16620638403085,47.92978414138052,-9.764445066010468,2.692035743148519,16.14854709552531,0.013309580376751,45,2.181096380328157,-2.230043442384513,directional_drift
0,3,19.76369997452853,52.93399997455804,-7.491849285571315,13.141357411143384,19.07013304612334,-0.0957645983232971,52,1.9806956289637272,-1.880406680010056,directional_drift
0,4,21.01431525577768,56.63598401932886,-3.4664824241471988,19.3404999299726,21.67528834062357,-0.0630072879321361,26,1.6836267193202334,-1.876689593121173,directional_drift
0,5,22.123712869084773,60.78612872388447,-0.0412730743457464,26.20937259570839,28.96447592424671,0.0461109338703171,6,1.6755426420225443,-2.023162884147943,directional_drift
0,6,19.279943236107503,65.61589022329329,2.9904621714263326,32.53847030155775,32.899949082635125,-0.0130714438874726,5,2.088891980700597,-2.9756197494027545,rotational_transition
0,7,22.16709950891476,73.4385150010492,9.473054472865076,53.76172583754472,54.65668670127821,-0.0033830915259316,2,3.06748794498835,-3.953337620585633,centrifugal_fragility
1,0,26.077382785195937,30.69092405320476,-29.92359880021649,-16.157979404616572,46.22625357472636,-0.0004298810458264,79,2.3019241971683053,-3.212001817800731,centrifugal_fragility
1,1,26.73259101929913,41.12820850218085,-22.71822725051228,3.2071536938194534,35.18970361788057,-0.0030801904609982,95,-0.0699885107446313,0.1802848338310347,directional_drift
1,2,26.83127117473416,48.24296933214317,-8.53038686690452,-6.6739739218444445,15.256300429919571,-0.0163543250527046,58,-0.0390516790983545,-1.3566343673572645,directional_drift
1,3,26.5184579764269,52.68451705764731,-6.7353715712390825,5.255145286686822,15.701462697548315,-0.1813261951001399,42,2.3420067967303746,-1.7051743230987442,directional_drift
1,4,26.938470124581677,56.895097686545206,-2.888666020972684,12.851158049207646,17.024717178457916,-0.0574128808778877,50,1.6881738764810266,-2.0822838249836866,directional_drift
1,5,26.847120021926692,61.02925233243667,1.3098379562323297,17.462553065524364,18.7505138797002,-0.0072119126499742,35,0.7262729153265367,-1.2890973451870855,directional_drift
1,6,27.29266360426592,65.29562231782936,1.6556499334904595,17.852852641802386,18.251022276311,-0.0099605537593934,9,1.497849648052029,-1.4996399007106145,directional_drift
1,7,27.905294557895694,72.54405043348194,10.18962643363266,33.27579436705806,34.80096230875977,-0.0080503398724172,1,2.2502089978368813,-3.678875928322926,rotational_transition
2,0,31.20514595450267,29.648661324181514,-27.19244990852505,-41.30987883609283,51.235339399349776,-0.0020469095419097,44,3.9908283288259256,-2.920608531656638,centrifugal_fragility
2,1,31.30830252147675,41.77493539539104,-23.66399091435672,5.66888128935256,37.29844205978745,0.0247993282032456,94,2.915849461215288,-2.28996048778863,centrifugal_fragility
2,2,31.757258985138904,48.200829313337856,-12.329923473539472,3.244473301191494,23.42590898640105,0.0264595587080894,59,-0.8136536706287294,-0.8764490645344667,directional_drift
2,3,31.67263650038483,53.085912111870655,-5.721068506279761,0.5777859743792255,11.753868514920562,-0.0298342663586745,62,0.8657837617027608,-1.8807304752716023,stable_anchor
2,4,31.76156056560051,57.33587281636228,-1.1725088416499834,6.465278632775983,11.700098524711771,0.0590144677940072,46,2.512738264191888,-1.6556625035792942,stable_anchor
2,5,31.48442609367164,60.78791344775135,1.9214698158425851,17.05243924042789,20.524936780194807,0.0421963057840391,40,2.07423832921304,-1.0105570088395948,directional_drift
2,6,32.28027291779043,65.6872238481012,5.157708167479628,23.60448296535953,25.7733986858102,-0.0169313742930763,21,1.335424106607768,-0.0306624999128244,directional_drift
2,7,33.668957401836124,70.08482909282273,10.628100842983446,24.60271168466387,27.039940568520173,-0.0019798688991988,2,0.893955437624999,0.2419181442214656,directional_drift
3,0,36.62783302363884,30.01396781762077,-27.723631308394893,-41.9271355550604,51.071326193042665,-0.0248749585822204,35,2.3125087965996505,-2.281970406759381,centrifugal_fragility
3,1,36.27204861703028,42.17372609894226,-17.075794046366294,-11.543961898125913,31.397519228261512,-0.0065908010413244,50,3.209188934822216,-3.371843494637891,centrifugal_fragility
3,2,36.78338391093712,47.85252290030317,-12.110837222250655,0.159434888304792,24.151255160880893,-0.0133995429541512,74,0.8460656296678549,-0.3503995357724838,directional_drift
3,3,36.58402484162832,52.79698981315909,-1.8079508013552092,-0.8874498354974044,13.215792853049336,-0.0372113990440488,55,0.9099432687370794,-1.4376964956863287,stable_anchor
3,4,36.783093284255926,57.19252288323379,1.9825842057199072,5.804354644793497,12.912918505279398,-0.1219896480919753,58,1.9484712444032637,-0.8537661785206739,stable_anchor
3,5,36.778098947296805,61.23773603093598,2.867799855183453,14.498989855427412,18.066061652155053,0.0050510212435083,51,2.420023435601132,-1.2479337799975576,directional_drift
3,6,36.72526831623838,66.13540381376204,8.577726208514266,24.615248026097145,27.78498536048749,-0.0123412461097267,39,2.954609567863997,-1.6858664774885836,centrifugal_fragility
3,7,36.74354518776931,72.78981823851004,17.562418694316555,43.09475815774242,46.765543484767726,-0.0042362005257728,7,3.577350706387694,-0.3810939219180611,centrifugal_fragility
4,0,41.586033564903815,25.76053662409276,-28.394927795492723,-55.287707533616654,62.268757473021246,-0.0051507012060673,14,3.442148046241779,-2.307933288405987,centrifugal_fragility
4,1,41.17682078056573,42.07264243758286,-13.874754675810015,-19.307200199678856,31.1795459447551,-0.0592606306967308,37,4.023349668675394,-2.3459313660311736,centrifugal_fragility
4,2,41.52868649199607,48.27063379030971,-13.20958165553179,12.93737602024363,34.35596400460738,-0.0523415937614017,64,2.148293526880052,-1.3729315426956243,directional_drift
4,3,41.41904445463222,53.03350199764948,-3.015171627765466,1.9840263351922895,15.764908823635045,-0.1400944959841337,62,-0.9613996935293204,-0.8515714581068891,directional_drift
4,4,41.633806975027184,56.96411130816507,-0.5129627939771442,3.704583144053636,14.289356098631597,-0.0008317193476063,55,1.3447330272335276,-0.4710122475181294,stable_anchor
4,5,41.59995047355686,61.24325091341832,5.038052324438278,12.050923704410277,17.966333648012498,-0.058477588403645,65,2.1060255165514263,-0.7775825425082395,directional_drift
4,6,42.27924554361498,65.86737054980242,10.837223298952765,19.046241757633112,23.816476723237898,0.0101275621494315,58,2.088445924447598,-1.403545017333284,directional_drift
4,7,42.19576689162518,72.8318048709873,20.40624401331004,33.138775330647825,39.3761069776108,-0.0039335858556506,14,1.6274599059110533,-2.4315209251088854,rotational_transition
5,0,46.37216404704731,28.029680402265686,-21.921416500943504,-53.8213430457055,58.300223956793296,-0.0061929272516378,16,2.7183588821655675,-0.7932829484465798,centrifugal_fragility
5,1,47.59732850272377,42.359246339233714,-12.4722476050222,-27.64803935076853,31.187484417215007,-0.0183552913737305,17,2.8461804102542483,-2.010729749781856,centrifugal_fragility
5,2,46.868704007569406,48.4817623456105,-9.217669644330742,-4.198099531429602,24.400192819948384,-0.2035082933824088,39,3.918524118723238,-3.817493586332385,rotational_transition
5,3,47.29581073538517,53.1025709731813,-1.0323375398017145,5.070855040795808,21.315435435982653,-0.0117519268505644,54,2.154088802866393,-2.4595048811946256,directional_drift
5,4,46.71013781261455,57.25556167165215,3.167845540820151,11.143341529745191,22.71081988877658,-0.085791394339128,74,2.332466941911324,-1.2715466055314857,directional_drift
5,5,47.21076628077351,61.4764722041982,6.9441019423467525,19.59788437940144,25.837476856535893,-0.1144889950221727,77,1.990901147360709,-1.1284446631793927,directional_drift
5,6,47.02603866013844,66.36861137288207,12.08772407559351,23.288755330023065,28.63522960959006,-0.0058871820101517,65,1.3151086436125117,-0.5390920523136554,directional_drift
5,7,47.3888072261495,71.70632188498088,14.042371779872656,31.69436565150485,36.60277947936761,-0.0039089359135284,26,0.9933419095573356,-0.1177644727437731,directional_drift
6,0,53.44346073380392,30.89470338957417,-21.07857697343544,-55.7107646102124,59.65621472022504,-0.0069632629240752,7,1.7806526226667934,-1.062857573447221,directional_drift
6,1,53.49458107689375,41.73246852951149,-11.022331221827136,-35.15693733006025,37.14214111279392,-0.0232882057372423,11,2.2026236472523646,-1.9741639361748269,directional_drift
6,2,53.014889258476,48.59244839710264,-0.8882542737573765,-20.232519011737253,22.08261577973099,-0.0665625677980878,19,2.7238993075732694,-2.9596856359306845,rotational_transition
6,3,53.53045059215098,52.98192581407464,2.0868752195060543,-10.631185293667896,15.290588148761811,-0.0540035614675456,27,2.500348608058168,-2.610457645749735,directional_drift
6,4,53.02497861811587,57.292098009048736,6.049329024310759,0.2093441374987981,15.635109399282952,-0.1235023871598122,34,2.7383071390980285,-2.8729659817592816,directional_drift
6,5,53.03874758928546,61.48046401988084,12.51511791153952,10.495085043906958,21.295421713170533,-0.1320504267672676,67,2.285593554049377,-2.45220205115428,directional_drift
6,6,53.60479151383056,66.50199350505845,14.50230053615572,19.63879480648341,27.633757753019264,-0.0653479562987507,119,2.624954236708211,-1.2577297189964098,centrifugal_fragility
6,7,54.60985742560482,73.28663765943993,18.291582368244324,34.96579679257834,42.23129302084866,-0.0108984637581652,85,3.3091344462698107,-0.3110223815516751,centrifugal_fragility
7,0,61.9276543614898,32.940925272046904,-19.75540923510952,-57.99901304841088,61.29740470466361,-0.0103183118811314,3,1.3744277123225936,-1.260179646426015,directional_drift
7,1,62.47048159808119,40.17843062580821,-6.929866483373928,-42.52673905881702,44.065574000588384,-0.0179162779729152,3,1.694754571785285,-1.7871782975887904,directional_drift
7,2,63.16174148399081,47.978653202358615,0.0523494509206017,-33.61727518658839,34.79357441019779,-0.0303062743445593,10,1.658174149043635,-2.1710057143376646,directional_drift
7,3,63.69431489921856,53.38559405593094,2.328621577288717,-24.733839003262947,26.022486584254207,-0.0590761013822223,15,2.1297698574299524,-2.06414446892083,directional_drift
7,4,61.64573574914419,57.27387501882125,5.697934414823312,-14.855452387725029,19.4608728496164,-0.1030751670369671,26,2.385069914184564,-2.3211982559413142,directional_drift
7,5,63.56560569849609,61.40082682618127,8.814525064514301,-4.93326756299137,16.145578629001676,-0.2377825234658611,27,2.4717042879607645,-3.35726723080616,directional_drift
7,6,62.4792994707362,66.98170471582425,21.739368533929145,10.629321369969835,25.97369674026026,-0.1625680505654572,53,4.069153109138828,-2.9295737225152223,rotational_transition
7,7,67.67654968973045,79.11573338814334,33.0913104753214,35.23477097966516,50.15799386581248,-0.0168091762796598,232,4.934060895799458,-1.5564139121258818,centrifugal_fragility
