policy_variant,estimator,value,delta_vs_behavior,ci_low,ci_high,delta_ci_low,delta_ci_high,ci_contains_zero_uplift,effective_sample_size,weight_mean,weight_p95,weight_max,n_rows,selection_objective,dr_delta,dr_delta_ci_low,dr_delta_ci_high,dr_ci_contains_zero
base_q,behavior,-31.18412214294799,0.0,-31.63070505837112,-30.72707887919579,,,,2152.5092860314467,0.8878251441840189,2.0634271186561906,3.1251217542796583,2950,2.0436324676424173,2.4960914366137423,2.0436324676424173,2.880253671345184,False
base_q,ips,-25.34260735513725,5.841514787810738,-25.898929477262996,-24.830257258667395,5.202966063854352,6.435281609418569,False,2152.5092860314467,0.8878251441840189,2.0634271186561906,3.1251217542796583,2950,2.0436324676424173,2.4960914366137423,2.0436324676424173,2.880253671345184,False
base_q,snips,-28.544592954087936,2.639529188860056,-28.968236660842,-28.1092106877066,2.4259117674033157,2.8658612901266545,False,2152.5092860314467,0.8878251441840189,2.0634271186561906,3.1251217542796583,2950,2.0436324676424173,2.4960914366137423,2.0436324676424173,2.880253671345184,False
base_q,dr,-28.68803070633425,2.4960914366137423,-29.176487751850832,-28.271596067765437,2.0436324676424173,2.880253671345184,False,2152.5092860314467,0.8878251441840189,2.0634271186561906,3.1251217542796583,2950,2.0436324676424173,2.4960914366137423,2.0436324676424173,2.880253671345184,False
context_q,behavior,-31.18412214294799,0.0,-31.63070505837112,-30.72707887919579,,,,1871.595841952268,0.9273248382181668,2.4927376992141035,3.557390113263087,2950,1.9559661734779443,2.47166235773544,1.9559661734779443,2.9026097043657013,False
context_q,ips,-26.07250764435355,5.111614498594442,-26.83367889001796,-25.40070464708122,4.322290444704957,5.832240605603786,False,1871.595841952268,0.9273248382181668,2.4927376992141035,3.557390113263087,2950,1.9559661734779443,2.47166235773544,1.9559661734779443,2.9026097043657013,False
context_q,snips,-28.11583014906758,3.068291993880411,-28.5550747692614,-27.62257318491259,2.787391849987801,3.3578363738431887,False,1871.595841952268,0.9273248382181668,2.4927376992141035,3.557390113263087,2950,1.9559661734779443,2.47166235773544,1.9559661734779443,2.9026097043657013,False
context_q,dr,-28.712459785212552,2.47166235773544,-29.279327540025747,-28.23114340666925,1.9559661734779443,2.9026097043657013,False,1871.595841952268,0.9273248382181668,2.4927376992141035,3.557390113263087,2950,1.9559661734779443,2.47166235773544,1.9559661734779443,2.9026097043657013,False
context_q_rule,behavior,-31.18412214294799,0.0,-31.63070505837112,-30.72707887919579,,,,1868.7091910857023,0.9359352717200556,2.504024932644075,3.557390113263087,2950,1.8097125367116933,2.3325905456305662,1.8097125367116933,2.767147948106604,False
context_q_rule,ips,-26.35847629048573,4.825645852462266,-27.13000637608208,-25.683796813739903,4.042312059336111,5.530717196407316,False,1868.7091910857023,0.9359352717200556,2.504024932644075,3.557390113263087,2950,1.8097125367116933,2.3325905456305662,1.8097125367116933,2.767147948106604,False
context_q_rule,snips,-28.16271283594676,3.0214093070012358,-28.617634928486584,-27.66309084600007,2.73195648516862,3.3134933866609697,False,1868.7091910857023,0.9359352717200556,2.504024932644075,3.557390113263087,2950,1.8097125367116933,2.3325905456305662,1.8097125367116933,2.767147948106604,False
context_q_rule,dr,-28.851531597317425,2.3325905456305662,-29.45314369821799,-28.36897622197008,1.8097125367116933,2.767147948106604,False,1868.7091910857023,0.9359352717200556,2.504024932644075,3.557390113263087,2950,1.8097125367116933,2.3325905456305662,1.8097125367116933,2.767147948106604,False
safe_context_q_rule,behavior,-31.18412214294799,0.0,-31.63070505837112,-30.72707887919579,,,,1864.6824931073752,0.9380317504089206,2.5162133514549314,3.557390113263087,2950,1.787496726284694,2.311994290152338,1.787496726284694,2.7469175349653963,False
safe_context_q_rule,ips,-26.418553728640248,4.765568414307744,-27.19209505263972,-25.737207288164527,3.984843966617712,5.474990485906449,False,1864.6824931073752,0.9380317504089206,2.5162133514549314,3.557390113263087,2950,1.787496726284694,2.311994290152338,1.787496726284694,2.7469175349653963,False
safe_context_q_rule,snips,-28.163816115097895,3.020306027850093,-28.61814252897516,-27.663509065713622,2.731045239671083,3.3126330409815794,False,1864.6824931073752,0.9380317504089206,2.5162133514549314,3.557390113263087,2950,1.787496726284694,2.311994290152338,1.787496726284694,2.7469175349653963,False
safe_context_q_rule,dr,-28.872127852795654,2.311994290152338,-29.47702335028766,-28.38914811338208,1.787496726284694,2.7469175349653963,False,1864.6824931073752,0.9380317504089206,2.5162133514549314,3.557390113263087,2950,1.787496726284694,2.311994290152338,1.787496726284694,2.7469175349653963,False
