continent,action,selected_city_count,selected_share,mean_q_advantage,mean_policy_confidence,mean_expected_delta_risk_h1,mean_expected_delta_accel_h1
Africa,wait_observe,3,0.0576923076923076,0.7734185115005943,0.3690113479236852,-0.0096219321757805,0.2
Africa,resilience_upgrade,28,0.5384615384615384,8.912249138914834,0.6192814031040259,-0.1201245956985433,3.1309238285836543
Africa,innovation_pulse,20,0.3846153846153846,5.490896590166725,0.5062390252104767,-0.0677690894318991,6.674900041246805
Africa,anti_overheating,1,0.0192307692307692,7.832780479643375,0.7311437358309094,-0.1302189549078578,-1.82
Asia,wait_observe,2,0.027027027027027,0.7011678585402876,0.3684664068212814,-0.0096017066937994,0.2
Asia,resilience_upgrade,25,0.3378378378378378,6.43473929519839,0.5494119916355406,-0.119508222714454,2.9818841396161293
Asia,innovation_pulse,44,0.5945945945945946,5.924389736014527,0.5165742910445315,-0.066507909486371,6.554340288074342
Asia,anti_overheating,3,0.0405405405405405,16.987704878097627,0.8635879743804705,-0.1335118800226188,-1.82
Europe,wait_observe,0,0.0,,,,
Europe,resilience_upgrade,40,0.5970149253731343,5.865856142559347,0.5335956998907766,-0.1173070351835376,3.023678056818681
Europe,innovation_pulse,25,0.373134328358209,4.7553594479332455,0.4933911526789281,-0.0672422269639057,6.714045886312764
Europe,anti_overheating,2,0.0298507462686567,14.20481689117231,0.8232846632223734,-0.1347948476658139,-1.82
North America,wait_observe,2,0.0454545454545454,0.0,0.3244108446886631,-0.009488174809963,0.2
North America,resilience_upgrade,21,0.4772727272727273,9.03102816780912,0.6298077458706378,-0.1208219228369151,2.9906104803506133
North America,innovation_pulse,19,0.4318181818181818,5.814147068019359,0.517366570082667,-0.0669832478079979,6.671535253269444
North America,anti_overheating,2,0.0454545454545454,11.95667895363141,0.8020298130417757,-0.1339585101824371,-1.82
Oceania,wait_observe,1,0.0526315789473684,0.0,0.3967657973225765,-0.0096767624383746,0.2
Oceania,resilience_upgrade,10,0.5263157894736842,6.73823660610925,0.566889446973853,-0.1251781102522212,3.0055460889614976
Oceania,innovation_pulse,8,0.4210526315789473,4.001131080980139,0.4575431605251305,-0.068135434573676,6.796231524921662
Oceania,anti_overheating,0,0.0,,,,
South America,wait_observe,2,0.0512820512820512,0.3086344898823867,0.3360136940727898,-0.0095428469559142,0.2
South America,resilience_upgrade,16,0.4102564102564102,5.0343653750693615,0.5156328714874954,-0.1162361192456149,3.0966780997426744
South America,innovation_pulse,20,0.5128205128205128,5.63343333811989,0.5291578273849443,-0.068955259676186,6.772944723804203
South America,anti_overheating,1,0.0256410256410256,18.86843271028177,0.9014507249703316,-0.1336567859470355,-1.82
