state_id,kinetic_state,trajectory_regime,risk_bucket,accel_bucket,visit_count,rl_state_value,rl_best_action
overheating|stalling_plateau|r_mid|a_high,overheating,stalling plateau,mid,high,1,-52.2852776285902,anti_overheating
overheating|stalling_plateau|r_high|a_high,overheating,stalling plateau,high,high,1,-56.251002155502206,anti_overheating
surge_expansion|volatile_rebound|r_low|a_high,surge expansion,volatile rebound,low,high,1,-59.41059805035111,innovation_pulse
overheating|stable_mature|r_high|a_high,overheating,stable mature,high,high,3,-60.83079090172038,anti_overheating
overheating|volatile_rebound|r_mid|a_mid,overheating,volatile rebound,mid,mid,2,-62.11236460283072,anti_overheating
steady_cruise|stalling_plateau|r_mid|a_mid,steady cruise,stalling plateau,mid,mid,3,-65.03717043984095,resilience_upgrade
overheating|stalling_plateau|r_mid|a_mid,overheating,stalling plateau,mid,mid,4,-65.4220988122805,anti_overheating
deep_cooling|stalling_plateau|r_mid|a_high,deep cooling,stalling plateau,mid,high,1,-66.33515800766254,resilience_upgrade
steady_cruise|volatile_rebound|r_high|a_high,steady cruise,volatile rebound,high,high,1,-67.21310126225238,innovation_pulse
deep_cooling|stalling_plateau|r_low|a_high,deep cooling,stalling plateau,low,high,13,-68.30396436163235,resilience_upgrade
overheating|stable_mature|r_high|a_mid,overheating,stable mature,high,mid,10,-68.69588685725161,anti_overheating
mixed_transition|volatile_rebound|r_low|a_high,mixed transition,volatile rebound,low,high,3,-70.07698051271707,innovation_pulse
steady_cruise|stalling_plateau|r_low|a_high,steady cruise,stalling plateau,low,high,6,-70.84485918972116,resilience_upgrade
steady_cruise|stalling_plateau|r_low|a_mid,steady cruise,stalling plateau,low,mid,20,-72.95672678435763,resilience_upgrade
mixed_transition|stalling_plateau|r_low|a_high,mixed transition,stalling plateau,low,high,24,-73.14228741522219,resilience_upgrade
deep_cooling|stalling_plateau|r_low|a_mid,deep cooling,stalling plateau,low,mid,47,-73.28251502639185,resilience_upgrade
mixed_transition|stalling_plateau|r_mid|a_high,mixed transition,stalling plateau,mid,high,7,-73.44278922330363,resilience_upgrade
deep_cooling|stable_mature|r_high|a_low,deep cooling,stable mature,high,low,4,-73.44772208056082,resilience_upgrade
deep_cooling|stalling_plateau|r_mid|a_low,deep cooling,stalling plateau,mid,low,3,-73.65476424952321,resilience_upgrade
surge_expansion|stalling_plateau|r_mid|a_mid,surge expansion,stalling plateau,mid,mid,7,-73.68499087439116,resilience_upgrade
mixed_transition|stalling_plateau|r_mid|a_mid,mixed transition,stalling plateau,mid,mid,25,-74.81009478381408,resilience_upgrade
deep_cooling|volatile_rebound|r_high|a_mid,deep cooling,volatile rebound,high,mid,2,-75.12470284485197,resilience_upgrade
deep_cooling|stalling_plateau|r_mid|a_mid,deep cooling,stalling plateau,mid,mid,2,-75.3488654974919,resilience_upgrade
surge_expansion|persistent_accelerator|r_mid|a_mid,surge expansion,persistent accelerator,mid,mid,2,-76.10691114878044,innovation_pulse
recovery_rebound|stable_mature|r_low|a_mid,recovery rebound,stable mature,low,mid,2,-76.35877017329304,innovation_pulse
recovery_rebound|volatile_rebound|r_low|a_low,recovery rebound,volatile rebound,low,low,3,-76.74940305972278,wait_observe
deep_cooling|stalling_plateau|r_low|a_low,deep cooling,stalling plateau,low,low,98,-77.25986252318343,resilience_upgrade
surge_expansion|stalling_plateau|r_low|a_mid,surge expansion,stalling plateau,low,mid,13,-78.18756758054579,resilience_upgrade
overheating|stalling_plateau|r_high|a_mid,overheating,stalling plateau,high,mid,2,-78.24501147875333,anti_overheating
mixed_transition|stalling_plateau|r_low|a_mid,mixed transition,stalling plateau,low,mid,120,-79.67618592018411,resilience_upgrade
surge_expansion|stalling_plateau|r_mid|a_high,surge expansion,stalling plateau,mid,high,58,-80.02682522353602,resilience_upgrade
mixed_transition|persistent_accelerator|r_low|a_low,mixed transition,persistent accelerator,low,low,64,-80.40586132651387,wait_observe
surge_expansion|stalling_plateau|r_high|a_high,surge expansion,stalling plateau,high,high,12,-80.53704435076746,resilience_upgrade
overheating|volatile_rebound|r_high|a_high,overheating,volatile rebound,high,high,9,-80.65235523795374,anti_overheating
deep_cooling|stable_mature|r_mid|a_mid,deep cooling,stable mature,mid,mid,5,-81.60280628801948,resilience_upgrade
mixed_transition|stalling_plateau|r_low|a_low,mixed transition,stalling plateau,low,low,56,-81.67183619487685,resilience_upgrade
deep_cooling|structural_decline|r_low|a_mid,deep cooling,structural decline,low,mid,3,-82.34253567187083,resilience_upgrade
overheating|volatile_rebound|r_high|a_mid,overheating,volatile rebound,high,mid,6,-83.25913923288078,anti_overheating
recovery_rebound|volatile_rebound|r_low|a_high,recovery rebound,volatile rebound,low,high,2,-83.60673421743076,innovation_pulse
steady_cruise|persistent_accelerator|r_mid|a_high,steady cruise,persistent accelerator,mid,high,2,-83.6205674443744,innovation_pulse
surge_expansion|stalling_plateau|r_low|a_high,surge expansion,stalling plateau,low,high,40,-84.27222267620898,resilience_upgrade
overheating|persistent_accelerator|r_high|a_mid,overheating,persistent accelerator,high,mid,15,-84.49277383937508,anti_overheating
overheating|stable_mature|r_mid|a_mid,overheating,stable mature,mid,mid,3,-84.95565254706219,anti_overheating
overheating|structural_decline|r_high|a_mid,overheating,structural decline,high,mid,9,-85.32940446433741,anti_overheating
deep_cooling|volatile_rebound|r_mid|a_high,deep cooling,volatile rebound,mid,high,3,-85.35256403764708,resilience_upgrade
recovery_rebound|structural_decline|r_low|a_low,recovery rebound,structural decline,low,low,4,-85.46828042495045,resilience_upgrade
mixed_transition|volatile_rebound|r_high|a_mid,mixed transition,volatile rebound,high,mid,10,-85.86810931394464,resilience_upgrade
deep_cooling|structural_decline|r_mid|a_mid,deep cooling,structural decline,mid,mid,12,-85.87880915977006,resilience_upgrade
mixed_transition|persistent_accelerator|r_low|a_high,mixed transition,persistent accelerator,low,high,3,-86.45455355177798,innovation_pulse
steady_cruise|late_takeoff|r_high|a_low,steady cruise,late takeoff,high,low,295,-86.57395933444917,resilience_upgrade
overheating|persistent_accelerator|r_high|a_high,overheating,persistent accelerator,high,high,6,-86.58185481218237,anti_overheating
recovery_rebound|stalling_plateau|r_low|a_mid,recovery rebound,stalling plateau,low,mid,21,-86.7955868817575,resilience_upgrade
steady_cruise|stable_mature|r_low|a_high,steady cruise,stable mature,low,high,2,-87.23963866183621,innovation_pulse
recovery_rebound|structural_decline|r_low|a_mid,recovery rebound,structural decline,low,mid,3,-87.56813347193169,resilience_upgrade
deep_cooling|structural_decline|r_mid|a_low,deep cooling,structural decline,mid,low,32,-88.72658029302659,resilience_upgrade
surge_expansion|structural_decline|r_high|a_high,surge expansion,structural decline,high,high,57,-88.74932768417881,resilience_upgrade
surge_expansion|structural_decline|r_low|a_mid,surge expansion,structural decline,low,mid,1,-88.86092446073187,resilience_upgrade
deep_cooling|persistent_accelerator|r_high|a_mid,deep cooling,persistent accelerator,high,mid,1,-88.93735418977647,resilience_upgrade
deep_cooling|structural_decline|r_low|a_low,deep cooling,structural decline,low,low,23,-88.97467816179471,resilience_upgrade
mixed_transition|structural_decline|r_high|a_low,mixed transition,structural decline,high,low,4,-88.99006516094258,resilience_upgrade
recovery_rebound|stable_mature|r_low|a_low,recovery rebound,stable mature,low,low,5,-89.1922702500078,innovation_pulse
overheating|stable_mature|r_mid|a_high,overheating,stable mature,mid,high,3,-89.35651281675833,anti_overheating
deep_cooling|volatile_rebound|r_mid|a_mid,deep cooling,volatile rebound,mid,mid,10,-89.51216152502148,resilience_upgrade
surge_expansion|structural_decline|r_mid|a_mid,surge expansion,structural decline,mid,mid,10,-89.86782364408927,resilience_upgrade
overheating|late_takeoff|r_high|a_mid,overheating,late takeoff,high,mid,8,-89.92371808172867,anti_overheating
deep_cooling|stable_mature|r_mid|a_low,deep cooling,stable mature,mid,low,22,-89.98476235010936,resilience_upgrade
mixed_transition|late_takeoff|r_mid|a_low,mixed transition,late takeoff,mid,low,3,-90.11854927624256,resilience_upgrade
mixed_transition|structural_decline|r_high|a_high,mixed transition,structural decline,high,high,8,-90.44176836980832,resilience_upgrade
steady_cruise|volatile_rebound|r_mid|a_high,steady cruise,volatile rebound,mid,high,7,-90.49148990405877,innovation_pulse
deep_cooling|volatile_rebound|r_mid|a_low,deep cooling,volatile rebound,mid,low,19,-90.69426900200918,resilience_upgrade
