event_type,event_time,n_obs,mean_rel_growth_adj,mean_rel_risk_adj
enter_deep_cooling,-2,721,-0.9606468572530278,-12.863771994741718
enter_deep_cooling,-1,721,0.0,0.0
enter_deep_cooling,0,721,-1.944234349902332,-20.388254571416272
enter_deep_cooling,1,647,-0.4009143239778414,-10.043757015206902
enter_deep_cooling,2,569,-0.7275370053619281,-8.442943289915437
enter_overheating,-2,99,-2.0569650020517685,-25.585675928030128
enter_overheating,-1,99,0.0,0.0
enter_overheating,0,99,-0.8692957361785212,1.3116811565909463
enter_overheating,1,88,-2.0601128338544936,-22.205493201707068
enter_overheating,2,77,-1.2495760400882316,-13.809499110199264
enter_recovery_rebound,-2,68,2.280618817813607,24.79473165371138
enter_recovery_rebound,-1,68,0.0,0.0
enter_recovery_rebound,0,68,0.7465996468154424,-5.058487930931408
enter_recovery_rebound,1,62,1.992786926925176,8.212710746691515
enter_recovery_rebound,2,54,1.3623833471256592,9.859367214494505
enter_surge_expansion,-2,806,0.8104197691070901,11.260678371554777
enter_surge_expansion,-1,806,0.0,0.0
enter_surge_expansion,0,806,1.749420213114383,19.509761778682737
enter_surge_expansion,1,700,0.3389604979519339,11.419817834821952
enter_surge_expansion,2,625,0.7010388466793847,7.769902417063761
