from_regime,to_regime,count,probability
late_takeoff,late_takeoff,377,0.4820971867007673
late_takeoff,persistent_accelerator,86,0.1099744245524296
late_takeoff,stable_mature,126,0.1611253196930946
late_takeoff,stalling_plateau,57,0.0728900255754475
late_takeoff,structural_decline,91,0.1163682864450127
late_takeoff,volatile_rebound,45,0.057544757033248
persistent_accelerator,late_takeoff,26,0.065989847715736
persistent_accelerator,persistent_accelerator,187,0.4746192893401015
persistent_accelerator,stable_mature,35,0.0888324873096446
persistent_accelerator,stalling_plateau,57,0.1446700507614213
persistent_accelerator,structural_decline,49,0.1243654822335025
persistent_accelerator,volatile_rebound,40,0.1015228426395939
stable_mature,late_takeoff,50,0.0965250965250965
stable_mature,persistent_accelerator,59,0.1138996138996139
stable_mature,stable_mature,267,0.5154440154440154
stable_mature,stalling_plateau,65,0.1254826254826254
stable_mature,structural_decline,32,0.0617760617760617
stable_mature,volatile_rebound,45,0.0868725868725868
stalling_plateau,persistent_accelerator,29,0.0493197278911564
stalling_plateau,stable_mature,78,0.1326530612244898
stalling_plateau,stalling_plateau,419,0.7125850340136054
stalling_plateau,structural_decline,10,0.0170068027210884
stalling_plateau,volatile_rebound,52,0.0884353741496598
structural_decline,late_takeoff,82,0.2724252491694352
structural_decline,persistent_accelerator,25,0.0830564784053156
structural_decline,stable_mature,26,0.0863787375415282
structural_decline,stalling_plateau,7,0.0232558139534883
structural_decline,structural_decline,129,0.4285714285714285
structural_decline,volatile_rebound,32,0.1063122923588039
volatile_rebound,late_takeoff,23,0.0626702997275204
volatile_rebound,persistent_accelerator,44,0.1198910081743869
volatile_rebound,stable_mature,44,0.1198910081743869
volatile_rebound,stalling_plateau,44,0.1198910081743869
volatile_rebound,structural_decline,17,0.0463215258855585
volatile_rebound,volatile_rebound,195,0.5313351498637602
