scope,continent,spell_kind,duration,at_risk,exits,hazard,hazard_ci_low_95,hazard_ci_high_95,survival_after_t
global,Global,stall_trap,1,188,171,0.9095744680851064,0.8599688541103245,0.9427767443417316,0.0904255319148936
global,Global,stall_trap,2,1,1,1.0,0.2065432914738929,1.0,0.0
continent,Africa,stall_trap,1,31,28,0.9032258064516128,0.7509971000182296,0.966535963905356,0.0967741935483871
continent,Africa,stall_trap,2,1,1,1.0,0.2065432914738929,1.0,0.0
continent,Asia,stall_trap,1,49,46,0.9387755102040816,0.8347925657791229,0.9789602350444708,0.0612244897959183
continent,Europe,stall_trap,1,55,49,0.8909090909090909,0.7817420620476804,0.9490334437169486,0.1090909090909091
continent,North America,stall_trap,1,18,16,0.8888888888888888,0.6719975513339578,0.9689811315464172,0.1111111111111111
continent,Oceania,stall_trap,1,13,13,1.0,0.7718981569447083,1.0,0.0
continent,South America,stall_trap,1,22,19,0.8636363636363636,0.6666458812053,0.9525108273576371,0.1363636363636363
global,Global,resilient_accelerator,1,163,156,0.9570552147239264,0.9140180951039674,0.9790445463475652,0.0429447852760735
continent,Africa,resilient_accelerator,1,29,26,0.896551724137931,0.7361455275293085,0.9641857596186988,0.1034482758620689
continent,Asia,resilient_accelerator,1,44,42,0.9545454545454546,0.8486472847469684,0.9874451536330188,0.0454545454545454
continent,Europe,resilient_accelerator,1,31,30,0.967741935483871,0.8380554282383037,0.9942829259130554,0.032258064516129
continent,North America,resilient_accelerator,1,26,25,0.9615384615384616,0.811068230080416,0.9931781910230102,0.0384615384615384
continent,Oceania,resilient_accelerator,1,11,11,1.0,0.7411599827511859,1.0,0.0
continent,South America,resilient_accelerator,1,22,22,1.0,0.8513404742740388,1.0,0.0
