year,risk_q35,risk_q65,accel_q35,accel_q65
2015,62.89029730439909,65.11031153795365,0.0,0.0
2016,27.6817743832337,40.09538951897777,38.92925561132322,47.916461314597
2017,33.33341919595678,44.54928150225793,56.03762912485193,62.411719169838726
2018,35.0241931394084,47.40456863388241,47.919635278875774,56.7860601096532
2019,34.07357273861323,47.22899042030718,44.20977619532604,52.61530664433741
2020,33.80093131876245,46.96310947748201,58.88200983524669,67.7231114505922
2021,31.844722294046537,41.003270798105774,45.76704627940145,55.706234678394246
2022,35.23821012370724,45.92974498041068,50.19902458841857,58.33969967019711
2023,33.5180059835903,46.211740127296366,58.228023100233926,66.48901215431194
2024,33.648327409869914,46.03924820452523,46.78574438402676,55.13956720041518
2025,35.85413026193266,47.152757316540935,56.68247770621447,64.24208085546881
