alert_rank,city_id,city_name,country,continent,alert_level,alert_score,nowcast_stall_risk_score,nowcast_acceleration_score,nowcast_composite_index,nowcast_delta_composite,uncertainty_score,source_quality_score,sentinel_score,sentinel_type,composite_shock_z,composite_changepoint_prob,trajectory_regime,phase_label,archetype,pulse_quadrant
1,yekaterinburg_ru,Yekaterinburg,Russia,Asia,stall_warning,21.55924033259452,72.54112672215746,100.0,30.844668518677008,-0.026381303482146734,16.07245444174827,100.0,47.055287159647854,volatility_jump,3.01017043475019,0.6080901649397619,late_takeoff,centrifugal_fragility,structural_stall,fragile_boom
2,seoul_kr,Seoul,South Korea,Asia,stall_warning,20.37327515014423,72.47340587060634,100.0,38.2466547841702,0.621276815693868,11.599477118151578,100.0,55.04623782055004,fragile_transition,5.792765848644052,0.9033246155579256,stable_mature,centrifugal_fragility,structural_stall,fragile_boom
3,lae_pg,Lae,Papua New Guinea,Oceania,stall_warning,19.99854724790965,72.58859140168842,100.0,25.890112761537097,0.350555599768807,9.639823384884952,100.0,38.67177379601054,steady_transition,1.3165722045861366,0.4450986041417332,persistent_accelerator,centrifugal_fragility,resilient_steady,fragile_boom
4,phoenix_us,Phoenix,United States,North America,stall_warning,18.92046604861756,70.71745304290387,100.0,38.7708487672133,0.3472295459117305,12.81205202285479,100.0,52.85868448544606,fragile_transition,8.428856439425834,0.8128710149238547,structural_decline,centrifugal_fragility,resilient_steady,fragile_boom
5,guayaquil_ec,Guayaquil,Ecuador,South America,acceleration_opportunity,5.746152173959322,38.46154289483693,70.4048934201595,26.503681455157686,0.04690796832135291,24.029202640840474,100.0,23.41808955891681,steady_transition,0.24319229027720188,0.41114472708297145,late_takeoff,directional_drift,resilient_steady,steady
6,basel_ch,Basel,Switzerland,Europe,acceleration_opportunity,3.559696482095254,38.85086457447995,70.16354819140189,27.72811664259477,-0.03840566537674661,13.195133651545373,100.0,19.742045373373017,steady_transition,0.48163467915633057,0.19550678166658453,stable_mature,directional_drift,frontier_accelerator,steady
7,baku_az,Baku,Azerbaijan,Asia,acceleration_opportunity,3.0808549037884623,36.90003497335011,71.77360670667548,33.84870760024643,-0.0841179114620445,22.625214476439478,100.0,17.795172004068178,steady_transition,0.28940712246451233,0.12696806542679062,persistent_accelerator,directional_drift,frontier_accelerator,steady
8,leon_mx,Leon,Mexico,North America,acceleration_opportunity,2.5204631218913596,38.42000600591293,71.40188417119168,30.66430314711815,-0.052811449602597094,13.48597364053543,100.0,21.05295011775197,steady_transition,0.704137375865535,0.23889874497747665,volatile_rebound,directional_drift,frontier_accelerator,steady
9,birmingham_gb,Birmingham,United Kingdom,Europe,acceleration_opportunity,1.6873202981288236,39.154393227511854,81.27465094646993,32.1069354053005,0.06283638804873704,28.93594036470176,100.0,33.31415248687157,upshift_break,2.5939027797318435,0.5389281202160925,stalling_plateau,rotational_transition,frontier_accelerator,steady
10,oslo_no,Oslo,Norway,Europe,acceleration_opportunity,1.532635208435602,36.41430891863443,71.80255065189418,29.767590373913823,0.023141423407711414,18.438916593371893,100.0,21.78378888515415,steady_transition,1.011038640179341,0.25195481990585655,volatile_rebound,centrifugal_fragility,frontier_accelerator,steady
