country,continent,city_count,mean_composite,mean_accel,mean_risk,mean_uncertainty,mean_source_quality,mean_sentinel_score,mean_changepoint_prob,critical_city_count,warning_city_count,data_watch_city_count,opportunity_city_count,sentinel_break_city_count,critical_share,warning_share,sentinel_break_share,nowcast_stall_pressure,nowcast_pulse_balance,country_alert_level,top_alert_city,top_city_risk,top_city_accel,top_city_alert_level,country_rank
South Korea,Asia,3,32.866309617966856,70.0937616201514,51.351298287685495,15.97148895326417,100.0,33.672244977013484,0.5109091893020911,0,1,0,0,1,0.0,0.3333333333333333,0.3333333333333333,-18.742463332465903,18.742463332465903,warning,Seoul,72.47340587060634,100.0,stall_warning,1
Papua New Guinea,Oceania,2,25.106033482273965,71.45171000073057,51.25615493578819,16.531143609778184,100.0,30.89319339044032,0.41729743259853297,0,1,0,0,0,0.0,0.5,0.0,-20.195555064942383,20.195555064942383,warning,Lae,72.58859140168842,100.0,stall_warning,2
Sri Lanka,Asia,1,28.219043187514888,41.19632191267391,67.60982273124654,14.905700593299063,100.0,33.81057443709947,0.449009600218507,0,0,0,0,0,0.0,0.0,0.0,26.41350081857263,-26.41350081857263,watch,Colombo,67.60982273124654,41.19632191267391,stable_watch,3
Zimbabwe,Africa,1,30.590077748578004,27.940706651373773,50.35535190655177,17.95848728294146,100.0,27.330343204423315,0.24353881092337637,0,0,0,0,0,0.0,0.0,0.0,22.414645255177994,-22.414645255177994,watch,Harare,50.35535190655177,27.940706651373773,stable_watch,4
Republic of the Congo,Africa,1,21.848993473558195,9.771397249106997,27.743611443935,16.088753185553756,100.0,22.39226543586017,0.22553201896980912,0,0,0,0,0,0.0,0.0,0.0,17.972214194828002,-17.972214194828002,watch,Brazzaville,27.743611443935,9.771397249106997,stable_watch,5
Bolivia,South America,2,28.770807623720916,32.08563975814495,45.12352881424222,19.55718170015292,100.0,26.138593118934722,0.2585256630526358,0,0,0,0,0,0.0,0.0,0.0,13.03788905609727,-13.03788905609727,watch,La Paz,49.1113700609269,15.15678309400344,stable_watch,6
Madagascar,Africa,1,26.160759173656256,33.584829085733375,42.04263786658646,27.037924562571945,100.0,24.76528958977973,0.20745067785252547,0,0,0,0,0,0.0,0.0,0.0,8.457808780853085,-8.457808780853085,watch,Antananarivo,42.04263786658646,33.584829085733375,stable_watch,7
Thailand,Asia,1,32.33446361013086,43.1686416490042,47.86546745163747,7.228284544935093,100.0,21.968618169900587,0.10788091744600126,0,0,0,0,0,0.0,0.0,0.0,4.6968258026332705,-4.6968258026332705,watch,Bangkok,47.86546745163747,43.1686416490042,stable_watch,8
Democratic Republic of the Congo,Africa,1,22.681822013839533,37.59964469917317,41.31234386180732,15.79318413522587,100.0,19.85001013869952,0.139522501594055,0,0,0,0,0,0.0,0.0,0.0,3.712699162634152,-3.712699162634152,watch,Kinshasa,41.31234386180732,37.59964469917317,stable_watch,9
Zambia,Africa,1,23.727001871395515,17.29434107191657,18.38668989155974,17.177103254554446,100.0,30.922962253826316,0.6063961407388638,0,0,0,0,0,0.0,0.0,0.0,1.0923488196431705,-1.0923488196431705,watch,Lusaka,18.38668989155974,17.29434107191657,stable_watch,10
Russia,Europe,2,35.27906727076772,44.90550268424274,45.65201503849055,15.871323517642352,100.0,25.361743541426833,0.3806454977797796,0,0,0,0,0,0.0,0.0,0.0,0.7465123542478125,-0.7465123542478125,watch,Yekaterinburg,72.54112672215746,100.0,stall_warning,11
Uganda,Africa,1,27.701449387333103,48.7522125256991,47.80988550727667,13.484408996613096,100.0,22.72728484467508,0.2003742893613255,0,0,0,0,0,0.0,0.0,0.0,-0.9423270184224322,0.9423270184224322,watch,Kampala,47.80988550727667,48.7522125256991,stable_watch,12
Latvia,Europe,1,30.485430482790022,60.261683985446986,57.71923443261,11.408865204032002,100.0,34.49552890686486,0.542256392712899,0,0,0,0,0,0.0,0.0,0.0,-2.5424495528369846,2.5424495528369846,watch,Riga,57.71923443261,60.261683985446986,stable_watch,13
Saudi Arabia,Asia,2,32.276146926028225,45.37311888149861,40.858353221258774,19.144419340408234,100.0,24.302425988897333,0.3732799885503848,0,0,0,0,0,0.0,0.0,0.0,-4.5147656602398385,4.5147656602398385,watch,Jeddah,51.935488825724185,38.58046432975087,stable_watch,14
Bulgaria,Europe,1,33.33268238077196,49.84622563619971,44.920914516307526,13.015164749770191,100.0,23.476585284526458,0.20874916380777342,0,0,0,0,0,0.0,0.0,0.0,-4.925311119892186,4.925311119892186,watch,Sofia,44.920914516307526,49.84622563619971,stable_watch,15
Albania,Europe,1,33.03282293654599,54.73105091329162,49.59519060665546,12.901410195298208,100.0,22.9931363298497,0.24165361521488937,0,0,0,0,0,0.0,0.0,0.0,-5.135860306636161,5.135860306636161,watch,Tirana,49.59519060665546,54.73105091329162,stable_watch,16
Georgia,Asia,1,26.72493500515846,47.679655067984044,42.21813799086107,22.829115456851696,100.0,25.31342731615351,0.25023965716820873,0,0,0,0,0,0.0,0.0,0.0,-5.461517077122977,5.461517077122977,watch,Tbilisi,42.21813799086107,47.679655067984044,stable_watch,17
Serbia,Europe,1,30.72509027853906,46.01922923713363,39.914820629437884,20.976186120046076,100.0,21.22990917489516,0.19187076796845703,0,0,0,0,0,0.0,0.0,0.0,-6.104408607695746,6.104408607695746,watch,Belgrade,39.914820629437884,46.01922923713363,stable_watch,18
Guinea,Africa,1,23.017408964651192,60.72932218362305,53.380432151929284,13.103908100733808,100.0,20.399870980826286,0.0,0,0,0,0,0,0.0,0.0,0.0,-7.348890031693763,7.348890031693763,watch,Conakry,53.380432151929284,60.72932218362305,stable_watch,19
Sweden,Europe,1,31.34456735013344,52.58930073135557,45.06801861182241,22.395802571446055,100.0,22.237719374547588,0.10272030519593656,0,0,0,0,0,0.0,0.0,0.0,-7.521282119533161,7.521282119533161,watch,Stockholm,45.06801861182241,52.58930073135557,stable_watch,20
Mauritania,Africa,1,27.48939785774196,32.203226831483505,23.49301298371941,17.250861586914535,100.0,35.7353675574632,0.7104681593163176,0,0,0,0,0,0.0,0.0,0.0,-8.710213847764095,8.710213847764095,watch,Nouakchott,23.49301298371941,32.203226831483505,stable_watch,21
Paraguay,South America,1,26.782882120614268,53.59164007407144,44.70859640458889,18.29705397764079,100.0,30.496706787978646,0.6064688638633845,0,0,0,0,0,0.0,0.0,0.0,-8.883043669482554,8.883043669482554,watch,Asuncion,44.70859640458889,53.59164007407144,stable_watch,22
Ukraine,Europe,1,29.48024371702244,49.663637705703806,39.83408304939372,29.022616485708642,100.0,26.60144666288965,0.5090692433169448,0,0,0,0,0,0.0,0.0,0.0,-9.829554656310087,9.829554656310087,watch,Kyiv,39.83408304939372,49.663637705703806,stable_watch,23
Tanzania,Africa,2,24.031253311166292,47.16570814362259,36.26804465849424,21.599803956337485,100.0,26.24177636204187,0.49152335604703723,0,0,0,0,0,0.0,0.0,0.0,-10.897663485128348,10.897663485128348,watch,Mwanza,32.08712049338583,25.916580372038496,stable_watch,24
Canada,North America,8,31.129136647886455,50.75459486990833,39.21460638210535,18.649156466017622,100.0,31.710468219633274,0.503680618898962,0,0,0,0,0,0.0,0.0,0.0,-11.53998848780298,11.53998848780298,watch,Vancouver,61.50767890693099,55.57928721580594,stable_watch,25
Turkey,Europe,1,34.825370387620936,73.7565991138904,60.963663462538335,8.857455871764063,100.0,34.40945988585073,0.4478407069590804,0,0,0,0,0,0.0,0.0,0.0,-12.792935651352067,12.792935651352067,watch,Istanbul,60.963663462538335,73.7565991138904,stable_watch,26
