sentinel_rank,city_id,city_name,country,continent,sentinel_type,sentinel_score,composite_shock_z,composite_changepoint_prob,signal_drift_1y,nowcast_stall_risk_score,nowcast_acceleration_score,nowcast_stall_pressure,alert_level,trajectory_regime,phase_label
1,seoul_kr,Seoul,South Korea,Asia,fragile_transition,55.04623782055004,5.792765848644052,0.9033246155579256,4.29149600475116,72.47340587060634,100.0,-27.526594129393658,stall_warning,stable_mature,centrifugal_fragility
2,phoenix_us,Phoenix,United States,North America,fragile_transition,52.85868448544606,8.428856439425834,0.8128710149238547,2.9392894207154896,70.71745304290387,100.0,-29.28254695709613,stall_warning,structural_decline,centrifugal_fragility
3,yekaterinburg_ru,Yekaterinburg,Russia,Asia,volatility_jump,47.055287159647854,3.01017043475019,0.6080901649397619,2.8263497626046252,72.54112672215746,100.0,-27.458873277842542,stall_warning,late_takeoff,centrifugal_fragility
4,bologna_it,Bologna,Italy,Europe,volatility_jump,45.94042114910649,-10.057166214270914,0.9306324733794378,-4.806344829970286,18.132804942487777,0.0,18.132804942487777,stable_watch,structural_decline,rotational_transition
5,quebec_city_ca,Quebec City,Canada,North America,volatility_jump,43.3187495912001,-6.72106015295336,0.8786930993192322,-3.857377561482412,18.743608622516987,0.0,18.743608622516987,stable_watch,structural_decline,rotational_transition
6,paris_fr,Paris,France,Europe,volatility_jump,39.672677428095106,-3.0334126274397786,0.6111147149170161,-3.943178172755509,29.472686580534663,0.0,29.472686580534663,stable_watch,volatile_rebound,centrifugal_fragility
7,krasnoyarsk_ru,Krasnoyarsk,Russia,Asia,volatility_jump,37.52625813620464,-6.708422260049556,0.7737836161059999,-2.847223890427969,14.912735817823487,19.19324855629548,-4.280512738471993,stable_watch,stable_mature,rotational_transition
8,pretoria_za,Pretoria,South Africa,Africa,volatility_jump,36.51269960312808,-4.277274299471379,0.7399402889727782,-2.689780560196038,14.581202824782348,17.502530022846486,-2.9213271980641373,stable_watch,stalling_plateau,rotational_transition
9,nouakchott_mr,Nouakchott,Mauritania,Africa,volatility_jump,35.7353675574632,-3.2837634540880125,0.7104681593163176,-1.8766218532039503,23.49301298371941,32.203226831483505,-8.710213847764095,stable_watch,late_takeoff,rotational_transition
10,auckland_nz,Auckland,New Zealand,Oceania,volatility_jump,34.14001589023358,-2.5007802368381817,0.535561785949217,-2.169385920344638,31.49072663703699,16.58646930128525,14.90425733575174,stable_watch,structural_decline,centrifugal_fragility
11,fortaleza_br,Fortaleza,Brazil,South America,volatility_jump,33.30808662206239,-3.4068444432366687,0.6566304984812659,-2.3189686602971307,16.65500937152842,19.610905889493758,-2.955896517965339,stable_watch,stalling_plateau,rotational_transition
12,toronto_ca,Toronto,Canada,North America,volatility_jump,31.150778040710392,-2.0085928437111233,0.4527580656710841,-1.2899861497975635,37.0846603980587,33.44951830161895,3.6351420964397505,stable_watch,late_takeoff,centrifugal_fragility
13,lusaka_zm,Lusaka,Zambia,Africa,volatility_jump,30.922962253826316,-2.4833940227688247,0.6063961407388638,-2.5561536958257918,18.38668989155974,17.29434107191657,1.0923488196431705,stable_watch,structural_decline,rotational_transition
14,montreal_ca,Montreal,Canada,North America,volatility_jump,28.365868034633227,-2.65752801007505,0.5466833410064178,-1.6596877015987772,18.034547654853785,34.94481392400516,-16.910266269151375,stable_watch,stable_mature,directional_drift
15,liverpool_gb,Liverpool,United Kingdom,Europe,volatility_jump,22.58541941131495,2.9226966826807756,0.15238576266968706,0.33081122413453556,26.899665454228092,67.85216467671609,-40.952499222487994,stable_watch,stalling_plateau,directional_drift
16,nagoya_jp,Nagoya,Japan,Asia,transition_watch,37.39990673785987,1.8703311512043896,0.7088451246130155,1.1313784389124208,49.979723776451834,74.79961242814994,-24.819888651698108,stable_watch,stable_mature,centrifugal_fragility
17,beirut_lb,Beirut,Lebanon,Asia,transition_watch,33.108937930191814,1.5558433033367005,0.6396465641265107,0.8586916493777892,42.651197639724366,69.07578508632311,-26.424587446598743,stable_watch,stalling_plateau,directional_drift
18,port_harcourt_ng,Port Harcourt,Nigeria,Africa,transition_watch,31.834085045248973,-1.4603238786368289,0.6457646537568908,-1.206435702273506,34.141303272298344,34.24255255770858,-0.10124928541023337,stable_watch,late_takeoff,centrifugal_fragility
19,asuncion_py,Asuncion,Paraguay,South America,transition_watch,30.496706787978646,-0.6597844617595601,0.6064688638633845,-0.21249786919197788,44.70859640458889,53.59164007407144,-8.883043669482554,stable_watch,late_takeoff,directional_drift
20,trujillo_pe,Trujillo,Peru,South America,transition_watch,27.193847768934717,-0.817373083680908,0.5792775180130729,-0.6554255399898921,32.99113106529491,49.06199254115296,-16.070861475858052,stable_watch,late_takeoff,stable_anchor
21,rosario_ar,Rosario,Argentina,South America,transition_watch,26.650726950945185,-1.648259659503531,0.5706359697346387,-1.617765203910114,20.992971369235143,29.763837793346752,-8.77086642411161,stable_watch,volatile_rebound,directional_drift
22,hyderabad_in,Hyderabad,India,Asia,transition_watch,23.795739678525436,0.8950014390997997,0.5760312947712263,0.13292232458563547,26.055431017160874,66.82926647067147,-40.7738354535106,stable_watch,stalling_plateau,directional_drift
23,newcastle_au,Newcastle,Australia,Oceania,transition_watch,23.05711478933415,-0.9420497846744708,0.5716573482910144,-1.24283793316825,19.18085303207414,58.72298605409299,-39.54213302201885,stable_watch,volatile_rebound,directional_drift
24,toulouse_fr,Toulouse,France,Europe,upshift_break,51.852304219893696,4.26828016863183,0.8319112372636932,2.691767985735808,67.04782458393011,97.82526824710519,-30.777443663175077,stable_watch,volatile_rebound,centrifugal_fragility
25,london_gb,London,United Kingdom,Europe,upshift_break,49.911969711545794,5.357386326940001,0.7818474192138802,2.697900609917042,64.43404036140566,100.0,-35.565959638594336,stable_watch,stable_mature,centrifugal_fragility
26,dunedin_nz,Dunedin,New Zealand,Oceania,upshift_break,48.56907181025769,4.874293716636723,0.8300918253730857,2.2134277823416255,58.40044753710175,91.29270047826239,-32.89225294116064,stable_watch,stable_mature,centrifugal_fragility
27,lyon_fr,Lyon,France,Europe,upshift_break,46.411436440839765,3.446337731464035,0.6611211388333287,2.7825829313415156,64.92589101192605,100.0,-35.074108988073945,stable_watch,persistent_accelerator,centrifugal_fragility
28,bamako_ml,Bamako,Mali,Africa,upshift_break,45.99789669531912,3.0114327854751797,0.6082550394705548,2.336914414806845,69.99395006286542,100.0,-30.006049937134577,stable_watch,late_takeoff,centrifugal_fragility
