path,exists,size_bytes,sha256,modified_utc
data\processed\global_city_panel_strict.csv,True,31706033,4b323460037d1b67717327709a16c1321ec1ecfc0328914f1c3e8079f71f1977,2026-03-23T09:24:59.794639+00:00
data\processed\source_audit_summary.json,True,1006,be67630e10399d6c51a9b559a74906fe9267d1137ad98c82fe1883e910c9b8a4,2026-03-23T09:24:57.415642+00:00
data\processed\policy_event_registry_enriched.csv,True,375235,94ddd9364814ab0bdd00752aafdd53622ae7fc1b1334a808dc30ec258b2d42ab,2026-03-23T09:43:35.427233+00:00
data\processed\policy_event_registry_quality_report.json,True,1652,1b5d846736d0986135ca25f8640f00e429b8fd865fdde3d94ddc3744d7e86c9c,2026-03-23T09:43:35.447031+00:00
data\outputs\econometric_summary.json,True,167835,2182a5ca4c3e58f48f5cb155010ddc7a7622936cb5b74954a602fb7b0ce50d1c,2026-03-23T09:30:14.854634+00:00
data\outputs\pulse_ai_summary.json,True,440039,276d4b745afd2a3f7fc114e6a3215606eac59769aef52328dc04250968b04c37,2026-03-23T09:27:41.292325+00:00
data\outputs\top_tier_reinforcement_summary.json,True,4271,e9c6c9480fe18d858d4b868dd956a13038d5f4cec42c39ed2903b8548ae85c7f,2026-03-23T09:43:35.236782+00:00
data\outputs\top_tier_gate_checks.csv,True,2453,3bb7a76e616538a4041feebca7c60f05663a46363495da5a43936698e4cd6256,2026-03-23T09:43:35.233030+00:00
data\outputs\robustness_audit_summary.json,True,306,4b7df6e031c6e7bec0c4cfc5dc67062338163be82ee77b829aaf4b3758e407b6,2026-03-23T09:43:35.517693+00:00
data\outputs\robustness_gate_checks.csv,True,1567,917973fb68d229f8d27a607742c2ab2a1bc852239c942523cee29844bdb7424b,2026-03-23T09:43:35.515687+00:00
data\outputs\inference_multiple_testing.csv,True,1707,de6bd5561d98dcbd7377c8bf47f9265ad20c28d464142ed7fce4ce7e671ef54c,2026-03-23T09:43:03.908966+00:00
data\outputs\exoshock_summary.json,True,1300,a370b01ce5ae232e51b52a2181c8a2fb07976ccbf70149b9ae92fc157a50bed5,2026-03-23T09:43:34.146824+00:00
data\outputs\exoshock_leave_one_shock_out.csv,True,141,30f711d411ed1e9f9b65f77e9fef9c68da97aaa6fdca4754f90a369881a50c0c,2026-03-23T09:43:34.146824+00:00
data\outputs\submission_readiness.json,True,9588,8cb1de0fd056df0da84cc670cb4bd3b1ba6bc08e2467594df7cd59e4f4cc9aa3,2026-03-17T01:37:39.200987+00:00
public_release\paper_assets_not_distributed,False,0,,
public_release\reference_assets_not_distributed,False,0,,
public_release\submission_report_not_distributed,False,0,,
